EPC,Antenna,Channel,TimeStamp/us,RSSI/dBm,Phase/rad,Doppler Shift/Hz,Velocity
000000000000000000009029,1,1,0,-61.5,6.00093284220863,638,0
000000000000000000009028,1,1,3476,-63.5,6.00093284220863,-833,0
000000000000000000009028,1,1,9166,-62.5,6.07456392002714,-585,0
000000000000000000009029,1,1,12460,-61,5.95184545699629,78,0
000000000000000000009029,1,1,26288,-61.5,5.982525072754,221,0
000000000000000000009028,1,1,28012,-63,6.11137945893639,-78,0
000000000000000000009028,1,1,38540,-63,6.0684279968756,-468,0
000000000000000000009029,1,1,39613,-61.5,5.8966221486324,-195,0
000000000000000000009028,1,1,54078,-63,6.04388430426943,-416,0
000000000000000000009029,1,1,58423,-60.5,5.96411730329937,26,0
000000000000000000009028,1,1,63916,-62.5,6.10524353578485,-195,0
000000000000000000009029,1,1,68433,-61,5.90275807178395,-364,0
000000000000000000009028,1,1,81951,-63.5,6.09297168948177,-299,0
000000000000000000009029,1,1,83922,-61,5.90275807178395,-117,0
000000000000000000009029,1,1,93933,-61.5,5.97638914960246,-26,0
000000000000000000009028,1,1,97096,-63,6.14819499784565,26,0
000000000000000000009029,1,1,109896,-61,5.982525072754,338,0
000000000000000000009028,1,1,114383,-63,6.0254765348148,-716,0
000000000000000000009029,1,1,122790,-61,5.92116584123858,-117,0
000000000000000000009028,1,1,124159,-63,6.08069984317868,-273,0
000000000000000000009028,1,1,138907,-63,6.17887461360336,26,0
000000000000000000009029,1,1,141450,-61,5.95184545699629,221,0
000000000000000000009028,1,1,148529,-63,6.12365130523948,-533,0
000000000000000000009029,1,1,151182,-61.5,5.91502991808703,-52,0
000000000000000000009029,1,1,165521,-61,5.8966221486324,-247,0
000000000000000000009028,1,1,167702,-62.5,6.09297168948177,-442,0
000000000000000000009029,1,1,175854,-61.5,5.93343768754166,117,0
000000000000000000009028,1,1,178047,-63,6.14205907469411,247,0
000000000000000000009029,1,1,196287,-61.5,5.96411730329937,494,0
000000000000000000009028,1,1,197339,-63,6.12365130523948,117,0
000000000000000000009028,1,1,201465,-63,6.09297168948177,-78,0
000000000000000000009029,1,1,202525,-61,5.91502991808703,-78,0
000000000000000000009029,1,1,219512,-61,5.99479691905709,26,0
000000000000000000009028,1,1,220823,-62.5,6.06229207372405,-221,0
000000000000000000009029,1,1,230542,-61.5,5.982525072754,273,0
000000000000000000009028,1,1,235503,-63,6.04388430426943,-533,0
000000000000000000009029,1,1,250615,-61,5.92730176439012,-273,0
000000000000000000009028,1,1,252097,-62,6.03774838111788,-690,0
000000000000000000009029,1,1,259172,-61,6.03774838111788,338,0
000000000000000000009028,1,1,261324,-62.5,6.03774838111788,-442,0
000000000000000000009028,1,1,277449,-63.5,6.11137945893639,-26,0
000000000000000000009029,1,1,279850,-61.5,5.95798138014783,78,0
000000000000000000009028,1,1,286653,-63,6.0684279968756,-143,0
000000000000000000009029,1,1,290176,-61,5.92116584123858,-52,0
000000000000000000009028,1,1,306858,-63,6.09297168948177,-273,0
000000000000000000009029,1,1,307903,-61,5.94570953384475,-143,0
000000000000000000009029,1,1,313895,-61.5,5.84753476342006,-611,0
000000000000000000009028,1,1,315830,-63,6.0254765348148,-169,0
000000000000000000009028,1,1,331015,-63,6.14205907469411,-52,0
000000000000000000009029,1,1,332944,-61,5.85980660972315,-169,0
000000000000000000009029,1,1,342455,-61,5.90889399493549,-338,0
000000000000000000009028,1,1,343908,-63,6.17887461360336,247,0
000000000000000000009028,1,1,357655,-63.5,6.10524353578485,117,0
