EPC,Antenna,Channel,TimeStamp/us,RSSI/dBm,Phase/rad,Doppler Shift/Hz,Velocity
000000000000000000001005,1,1,0,-45,2.58935956995096,403,0
000000000000000000001006,1,1,1092,-43.5,5.74322406984384,52,0
000000000000000000001006,1,1,9126,-43.5,5.74322406984384,78,0
000000000000000000001005,1,1,11375,-45,2.5954954931025,351,0
000000000000000000001006,1,1,28245,-43.5,5.7370881466923,52,0
000000000000000000001005,1,1,30581,-45,2.56481587734479,182,0
000000000000000000001005,1,1,39472,-45,2.60163141625405,247,0
000000000000000000001006,1,1,41860,-43.5,5.7370881466923,130,0
000000000000000000001005,1,1,58721,-45,2.60163141625405,273,0
000000000000000000001006,1,1,60269,-43.5,5.71868037723767,130,0
000000000000000000001005,1,1,70382,-45,2.54640810789016,0,0
000000000000000000001006,1,1,72361,-43.5,5.74322406984384,247,0
000000000000000000001005,1,1,89618,-45,2.60163141625405,156,0
000000000000000000001006,1,1,90966,-43.5,5.74322406984384,182,0
000000000000000000001006,1,1,99323,-43.5,5.72481630038921,221,0
000000000000000000001005,1,1,102028,-45,2.60776733940559,182,0
000000000000000000001006,1,1,117444,-43.5,5.71868037723767,221,0
000000000000000000001005,1,1,119927,-45,2.62617510886022,208,0
000000000000000000001006,1,1,132057,-43,5.6941366846315,130,0
000000000000000000001005,1,1,134392,-45,2.64458287831485,247,0
000000000000000000001005,1,1,149382,-45,2.65071880146639,208,0
000000000000000000001006,1,1,150861,-43,5.67572891517687,221,0
000000000000000000001006,1,1,158937,-43.5,5.65732114572224,221,0
000000000000000000001005,1,1,162567,-45,2.64458287831485,182,0
000000000000000000001006,1,1,179184,-43.5,5.64504929941916,273,0
000000000000000000001005,1,1,180946,-45,2.65685472461793,182,0
000000000000000000001005,1,1,192000,-45,2.65685472461793,130,0
000000000000000000001006,1,1,194317,-43.5,5.57755414475219,130,0
000000000000000000001006,1,1,215749,-44,5.56528229844911,182,0
000000000000000000001005,1,1,216888,-45,2.68753434037564,247,0
000000000000000000001006,1,1,229406,-44,5.55301045214602,104,0
000000000000000000001005,1,1,230559,-45,2.68753434037564,247,0
000000000000000000001006,1,1,248366,-44,5.57141822160065,26,0
000000000000000000001005,1,1,251897,-45,2.66912657092102,299,0
000000000000000000001005,1,1,259092,-45,2.64458287831485,156,0
000000000000000000001006,1,1,262151,-44,5.64504929941916,273,0
000000000000000000001006,1,1,281481,-44,5.6511852225707,156,0
000000000000000000001005,1,1,282591,-44.5,2.64458287831485,273,0
000000000000000000001005,1,1,292004,-44.5,2.62617510886022,182,0
000000000000000000001006,1,1,293097,-44,5.68800076147996,247,0
000000000000000000001005,1,1,309804,-44.5,2.62617510886022,208,0
000000000000000000001006,1,1,311152,-44,5.66345706887379,52,0
000000000000000000001006,1,1,319190,-44,5.66345706887379,130,0
000000000000000000001005,1,1,320570,-44.5,2.63231103201176,247,0
000000000000000000001005,1,1,338665,-44.5,2.64458287831485,325,0
000000000000000000001006,1,1,340961,-44,5.68186483832841,156,0
000000000000000000001006,1,1,350279,-44,5.66345706887379,156,0
000000000000000000001005,1,1,355102,-44.5,2.64458287831485,299,0
000000000000000000001005,1,1,370426,-44.5,2.65071880146639,351,0
000000000000000000001006,1,1,372759,-44,5.66959299202533,247,0
000000000000000000001006,1,1,381280,-44,5.65732114572224,130,0
000000000000000000001005,1,1,382686,-44.5,2.62617510886022,182,0
000000000000000000001005,1,1,400590,-44.5,2.65071880146639,299,0
000000000000000000001006,1,1,403206,-44,5.67572891517687,273,0
000000000000000000001006,1,1,412290,-44,5.66345706887379,182,0
000000000000000000001005,1,1,415408,-44.5,2.63231103201176,156,0
000000000000000000001005,1,1,429673,-44,2.6384469551633,299,0
000000000000000000001006,1,1,434062,-44,5.66959299202533,221,0
000000000000000000001005,1,1,444396,-44.5,2.62617510886022,247,0
000000000000000000001006,1,1,445475,-44,5.66345706887379,221,0
000000000000000000001006,1,1,459647,-44,5.68800076147996,182,0
000000000000000000001005,1,1,461881,-44,2.60163141625405,221,0
000000000000000000001005,1,1,471601,-44.5,2.61390326255713,247,0
000000000000000000001006,1,1,474873,-44,5.6941366846315,247,0
000000000000000000001006,1,1,490230,-44,5.70027260778304,182,0
000000000000000000001005,1,1,491567,-44.5,2.63231103201176,221,0
000000000000000000001006,1,1,502388,-44,5.71868037723767,273,0
000000000000000000001005,1,1,504580,-44.5,2.65071880146639,247,0
000000000000000000001005,1,1,524077,-44,2.66299064776947,247,0
000000000000000000001006,1,1,525211,-44,5.7370881466923,156,0
000000000000000000001005,1,1,531049,-44,2.6384469551633,182,0
000000000000000000001006,1,1,535910,-44,5.72481630038921,26,0
000000000000000000001006,1,1,551813,-44,5.75549591614693,130,0
000000000000000000001005,1,1,553291,-44,2.62617510886022,208,0
000000000000000000001005,1,1,564145,-44,2.62617510886022,247,0
000000000000000000001006,1,1,566573,-44,5.76776776245001,156,0
000000000000000000001005,1,1,581436,-44,2.62617510886022,247,0
000000000000000000001006,1,1,583398,-44,5.78617553190464,247,0
000000000000000000001005,1,1,592469,-44,2.62003918570868,208,0
000000000000000000001006,1,1,597730,-44,5.71868037723767,0,0
000000000000000000001006,1,1,611349,-44,5.71868037723767,130,0
000000000000000000001005,1,1,614217,-44,2.60776733940559,247,0
000000000000000000001006,1,1,622220,-44,5.74935999299538,273,0
000000000000000000001005,1,1,627515,-44,2.61390326255713,273,0
000000000000000000001006,1,1,643701,-44,5.7370881466923,182,0
000000000000000000001005,1,1,646790,-44,2.60776733940559,273,0
000000000000000000001005,1,1,656391,-44,2.58935956995096,182,0
000000000000000000001006,1,1,658323,-44,5.73095222354076,104,0
000000000000000000001006,1,1,672513,-44,5.76163183929847,130,0
