EPC,Antenna,Channel,TimeStamp/us,RSSI/dBm,Phase/rad,Doppler Shift/Hz,Velocity
000000000000000000009029,1,1,0,-62.5,5.44256383541826,26,0
000000000000000000009029,1,1,6332,-62.5,5.46710752802443,78,0
000000000000000000009028,1,1,23740,-67,5.71868037723767,26,0
000000000000000000009029,1,1,26525,-63.5,5.35052498814512,-442,0
000000000000000000009029,1,1,36087,-62.5,5.44256383541826,26,0
000000000000000000009029,1,1,53031,-62.5,5.35052498814512,-442,0
000000000000000000009029,1,1,59234,-62.5,5.51005899008522,390,0
000000000000000000009028,1,1,61673,-69,5.68186483832841,-143,0
000000000000000000009028,1,1,78095,-68,5.75549591614693,-221,0
000000000000000000009029,1,1,79612,-63,5.43642791226671,-169,0
000000000000000000009028,1,1,86654,-68.5,5.58369006790373,-195,0
000000000000000000009029,1,1,88228,-63,5.4486997585698,-78,0
000000000000000000009029,1,1,103391,-63,5.46710752802443,143,0
000000000000000000009028,1,1,108463,-69,5.55914637529756,-442,0
000000000000000000009028,1,1,116036,-67.5,5.72481630038921,-247,0
000000000000000000009029,1,1,119253,-62,5.46097160487288,-117,0
000000000000000000009028,1,1,133794,-68,5.7800396087531,559,0
000000000000000000009029,1,1,136892,-62.5,5.35052498814512,-338,0
000000000000000000009029,1,1,144704,-62.5,5.4486997585698,169,0
000000000000000000009028,1,1,146789,-67.5,5.76776776245001,52,0
000000000000000000009028,1,1,159960,-68,5.54073860584294,-169,0
000000000000000000009029,1,1,164452,-63,5.43642791226671,-78,0
000000000000000000009029,1,1,170729,-62.5,5.35052498814512,-611,0
000000000000000000009028,1,1,171774,-68.5,5.87821437917778,690,0
000000000000000000009029,1,1,189647,-63,5.52233083638831,533,0
000000000000000000009028,1,1,190933,-68.5,5.88435030232932,1223,0
000000000000000000009028,1,1,199558,-68.5,5.88435030232932,1002,0
000000000000000000009029,1,1,203667,-63,5.28916575662969,-950,0
000000000000000000009028,1,1,217990,-68.5,5.67572891517687,26,0
000000000000000000009029,1,1,220160,-62.5,5.43029198911517,-52,0
000000000000000000009028,1,1,225674,-67.5,5.6511852225707,-416,0
000000000000000000009029,1,1,228372,-63,5.41802014281208,-247,0
000000000000000000009028,1,1,247656,-68,5.78617553190464,117,0
000000000000000000009029,1,1,248745,-62.5,5.39347645020591,-338,0
000000000000000000009028,1,1,254735,-69,5.62050560681299,-494,0
000000000000000000009029,1,1,256291,-62.5,5.46710752802443,-52,0
000000000000000000009028,1,1,274282,-68.5,5.83526291711698,638,0
000000000000000000009029,1,1,276809,-63,5.43642791226671,-52,0
000000000000000000009028,1,1,282527,-69,5.6941366846315,-364,0
000000000000000000009029,1,1,286939,-63,5.43642791226671,-169,0
000000000000000000009029,1,1,302356,-62.5,5.39347645020591,26,0
000000000000000000009028,1,1,303932,-69,5.52233083638831,-1419,0
000000000000000000009028,1,1,312349,-69,5.57141822160065,-442,0
000000000000000000009029,1,1,313594,-62.5,5.38120460390283,-247,0
000000000000000000009029,1,1,326230,-62.5,5.38120460390283,-221,0
