EPC,Antenna,Channel,TimeStamp/us,RSSI/dBm,Phase/rad,Doppler Shift/Hz,Velocity
1.000000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-6.250000000000000000e+01,6.142059074694110166e+00,5.720000000000000000e+02,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.105000000000000000e+03,-4.350000000000000000e+01,4.049709280018090052e-01,2.600000000000000000e+01,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,2.242000000000000000e+03,-4.650000000000000000e+01,5.915029918087030048e+00,1.040000000000000000e+02,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,2.206500000000000000e+04,-4.350000000000000000e+01,4.172427743048949811e-01,1.040000000000000000e+02,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,2.510900000000000000e+04,-4.650000000000000000e+01,5.939573610693200223e+00,1.820000000000000000e+02,0.000000000000000000e+00
1.000000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,2.708200000000000000e+04,-6.250000000000000000e+01,6.019340611663260177e+00,1.040000000000000000e+02,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,3.361500000000000000e+04,-4.650000000000000000e+01,5.908893994935490390e+00,7.800000000000000000e+01,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,3.750400000000000000e+04,-4.350000000000000000e+01,4.233786974564370253e-01,2.210000000000000000e+02,0.000000000000000000e+00
1.000000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,3.926500000000000000e+04,-6.200000000000000000e+01,5.902758071783949845e+00,-3.380000000000000000e+02,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,5.515800000000000000e+04,-4.350000000000000000e+01,3.804272353956389963e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,5.652200000000000000e+04,-6.250000000000000000e+01,5.988660995905539686e+00,1.820000000000000000e+02,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,5.876900000000000000e+04,-4.650000000000000000e+01,5.933437687541659677e+00,2.080000000000000000e+02,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,6.647100000000000000e+04,-4.650000000000000000e+01,5.933437687541659677e+00,1.820000000000000000e+02,0.000000000000000000e+00
1.000000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,6.828700000000000000e+04,-6.250000000000000000e+01,6.031612457966340379e+00,1.560000000000000000e+02,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,7.020400000000000000e+04,-4.350000000000000000e+01,4.356505437595220021e-01,1.300000000000000000e+02,0.000000000000000000e+00
1.000000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,8.701300000000000000e+04,-6.250000000000000000e+01,6.019340611663260177e+00,1.040000000000000000e+02,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,8.847500000000000000e+04,-4.350000000000000000e+01,3.988350048502670164e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,8.960100000000000000e+04,-4.650000000000000000e+01,5.945709533844749650e+00,2.210000000000000000e+02,0.000000000000000000e+00
1.000000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.006580000000000000e+05,-6.250000000000000000e+01,5.976389149602460371e+00,2.600000000000000000e+01,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.028760000000000000e+05,-4.650000000000000000e+01,5.921165841238580363e+00,1.300000000000000000e+02,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.056780000000000000e+05,-4.350000000000000000e+01,3.988350048502670164e-01,-5.200000000000000000e+01,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.217980000000000000e+05,-4.350000000000000000e+01,3.865631585471809850e-01,2.600000000000000000e+01,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.229350000000000000e+05,-4.650000000000000000e+01,5.939573610693200223e+00,2.730000000000000000e+02,0.000000000000000000e+00
1.000000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.242960000000000000e+05,-6.250000000000000000e+01,6.056156150572509667e+00,2.860000000000000000e+02,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.317800000000000000e+05,-4.350000000000000000e+01,4.172427743048949811e-01,1.040000000000000000e+02,0.000000000000000000e+00
1.000000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.351910000000000000e+05,-6.250000000000000000e+01,5.902758071783949845e+00,-2.080000000000000000e+02,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.366670000000000000e+05,-4.650000000000000000e+01,5.933437687541659677e+00,2.080000000000000000e+02,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.526580000000000000e+05,-4.350000000000000000e+01,3.926990816987250277e-01,-2.600000000000000000e+01,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.537950000000000000e+05,-4.650000000000000000e+01,5.915029918087030048e+00,1.300000000000000000e+02,0.000000000000000000e+00
1.000000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.548280000000000000e+05,-6.250000000000000000e+01,6.050020227420970009e+00,1.300000000000000000e+02,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.654270000000000000e+05,-4.650000000000000000e+01,5.939573610693200223e+00,2.210000000000000000e+02,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.696530000000000000e+05,-4.350000000000000000e+01,4.172427743048949811e-01,7.800000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.709140000000000000e+05,-6.250000000000000000e+01,5.994796919057090001e+00,1.560000000000000000e+02,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.868930000000000000e+05,-4.650000000000000000e+01,5.945709533844749650e+00,2.470000000000000000e+02,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.901930000000000000e+05,-4.350000000000000000e+01,3.681553890925540196e-01,-7.800000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.913270000000000000e+05,-6.200000000000000000e+01,5.927301764390120020e+00,-7.800000000000000000e+01,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.973890000000000000e+05,-4.350000000000000000e+01,4.049709280018090052e-01,-2.600000000000000000e+01,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.992210000000000000e+05,-4.650000000000000000e+01,5.927301764390120020e+00,1.560000000000000000e+02,0.000000000000000000e+00
1.000000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,2.033260000000000000e+05,-6.200000000000000000e+01,5.890486225480859872e+00,-3.900000000000000000e+02,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,2.175450000000000000e+05,-4.650000000000000000e+01,5.945709533844749650e+00,2.080000000000000000e+02,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,2.193330000000000000e+05,-4.350000000000000000e+01,3.926990816987250277e-01,-2.600000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,2.243430000000000000e+05,-6.250000000000000000e+01,6.000932842208629658e+00,2.080000000000000000e+02,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,2.334290000000000000e+05,-4.350000000000000000e+01,3.865631585471809850e-01,-5.200000000000000000e+01,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,2.348930000000000000e+05,-4.650000000000000000e+01,5.921165841238580363e+00,1.560000000000000000e+02,0.000000000000000000e+00
1.000000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,2.360140000000000000e+05,-6.250000000000000000e+01,5.780039608753099856e+00,-9.630000000000000000e+02,0.000000000000000000e+00
1.000000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,2.512680000000000000e+05,-6.250000000000000000e+01,6.007068765360170204e+00,7.800000000000000000e+01,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,2.526310000000000000e+05,-4.350000000000000000e+01,3.988350048502670164e-01,2.600000000000000000e+01,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,2.544070000000000000e+05,-4.650000000000000000e+01,5.927301764390120020e+00,2.080000000000000000e+02,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,2.654060000000000000e+05,-4.350000000000000000e+01,4.049709280018090052e-01,7.800000000000000000e+01,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,2.673690000000000000e+05,-4.650000000000000000e+01,5.921165841238580363e+00,1.560000000000000000e+02,0.000000000000000000e+00
1.000000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,2.701970000000000000e+05,-6.250000000000000000e+01,5.970253226450919826e+00,1.040000000000000000e+02,0.000000000000000000e+00
