EPC,Antenna,Channel,TimeStamp/us,RSSI/dBm,Phase/rad,Doppler Shift/Hz,Velocity
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-4.450000000000000000e+01,1.656699250916489952e+00,2.470000000000000000e+02,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,2.189000000000000000e+03,-4.350000000000000000e+01,5.013049214810280318e+00,7.800000000000000000e+01,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.374500000000000000e+04,-4.350000000000000000e+01,4.994641445355649800e+00,5.200000000000000000e+01,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.508200000000000000e+04,-4.450000000000000000e+01,1.656699250916489952e+00,2.730000000000000000e+02,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,2.892700000000000000e+04,-4.450000000000000000e+01,1.589204096249519971e+00,7.800000000000000000e+01,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,3.376600000000000000e+04,-4.350000000000000000e+01,5.025321061113359633e+00,1.560000000000000000e+02,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,3.991100000000000000e+04,-4.350000000000000000e+01,4.994641445355649800e+00,1.040000000000000000e+02,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,4.403200000000000000e+04,-4.450000000000000000e+01,1.589204096249519971e+00,7.800000000000000000e+01,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,6.294400000000000000e+04,-4.450000000000000000e+01,1.576932249946439990e+00,7.800000000000000000e+01,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,6.401000000000000000e+04,-4.350000000000000000e+01,5.013049214810280318e+00,2.210000000000000000e+02,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,7.184300000000000000e+04,-4.450000000000000000e+01,1.583068173097980091e+00,7.800000000000000000e+01,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,7.450100000000000000e+04,-4.350000000000000000e+01,4.988505522204100373e+00,1.560000000000000000e+02,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,8.911000000000000000e+04,-4.450000000000000000e+01,1.558524480491809916e+00,2.600000000000000000e+01,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,9.242700000000000000e+04,-4.350000000000000000e+01,4.957825906446389652e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.020400000000000000e+05,-4.450000000000000000e+01,1.570796326794900111e+00,1.040000000000000000e+02,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.042160000000000000e+05,-4.350000000000000000e+01,4.970097752749479625e+00,2.210000000000000000e+02,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.189850000000000000e+05,-4.450000000000000000e+01,1.552388557340270037e+00,7.800000000000000000e+01,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.211720000000000000e+05,-4.350000000000000000e+01,4.957825906446389652e+00,1.040000000000000000e+02,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.327750000000000000e+05,-4.450000000000000000e+01,1.570796326794900111e+00,2.210000000000000000e+02,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.338380000000000000e+05,-4.350000000000000000e+01,4.933282213840220365e+00,-5.200000000000000000e+01,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.511240000000000000e+05,-4.350000000000000000e+01,4.963961829597930198e+00,2.990000000000000000e+02,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.530720000000000000e+05,-4.450000000000000000e+01,1.546252634188729935e+00,1.300000000000000000e+02,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.635260000000000000e+05,-4.350000000000000000e+01,4.957825906446389652e+00,2.470000000000000000e+02,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.652630000000000000e+05,-4.450000000000000000e+01,1.546252634188729935e+00,2.210000000000000000e+02,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.810760000000000000e+05,-4.450000000000000000e+01,1.521708941582559982e+00,1.560000000000000000e+02,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.839050000000000000e+05,-4.350000000000000000e+01,4.927146290688679819e+00,1.820000000000000000e+02,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.931170000000000000e+05,-4.450000000000000000e+01,1.540116711037180064e+00,2.470000000000000000e+02,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.965430000000000000e+05,-4.350000000000000000e+01,4.921010367537140162e+00,1.300000000000000000e+02,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,2.120300000000000000e+05,-4.450000000000000000e+01,1.527844864734100083e+00,1.820000000000000000e+02,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,2.151380000000000000e+05,-4.350000000000000000e+01,4.914874444385589847e+00,2.210000000000000000e+02,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,2.231370000000000000e+05,-4.450000000000000000e+01,1.521708941582559982e+00,2.080000000000000000e+02,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,2.258380000000000000e+05,-4.350000000000000000e+01,4.914874444385589847e+00,2.730000000000000000e+02,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,2.410530000000000000e+05,-4.450000000000000000e+01,1.503301172127929908e+00,2.210000000000000000e+02,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,2.443380000000000000e+05,-4.350000000000000000e+01,4.896466674930969987e+00,1.560000000000000000e+02,0.000000000000000000e+00
