EPC,Antenna,Channel,TimeStamp/us,RSSI/dBm,Phase/rad,Doppler Shift/Hz,Velocity
9.029000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-6.250000000000000000e+01,5.436427912266710294e+00,-1.950000000000000000e+02,0.000000000000000000e+00
9.028000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.088000000000000000e+03,-6.850000000000000000e+01,5.577554144752189913e+00,-5.330000000000000000e+02,0.000000000000000000e+00
9.028000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.424500000000000000e+04,-6.800000000000000000e+01,5.522330836388309905e+00,-9.760000000000000000e+02,0.000000000000000000e+00
9.029000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.597300000000000000e+04,-6.250000000000000000e+01,5.454835681721339924e+00,-1.950000000000000000e+02,0.000000000000000000e+00
9.028000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,2.998000000000000000e+04,-6.800000000000000000e+01,5.344389064993570138e+00,-1.393000000000000000e+03,0.000000000000000000e+00
9.029000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,3.245600000000000000e+04,-6.200000000000000000e+01,5.424156065963630091e+00,-2.210000000000000000e+02,0.000000000000000000e+00
9.028000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,4.139000000000000000e+04,-6.800000000000000000e+01,5.675728915176869727e+00,-2.600000000000000000e+01,0.000000000000000000e+00
9.029000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,4.246600000000000000e+04,-6.250000000000000000e+01,5.424156065963630091e+00,-2.210000000000000000e+02,0.000000000000000000e+00
9.028000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,5.936400000000000000e+04,-6.750000000000000000e+01,5.595961914206820431e+00,-2.600000000000000000e+01,0.000000000000000000e+00
9.029000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,6.131000000000000000e+04,-6.250000000000000000e+01,5.436427912266710294e+00,-1.170000000000000000e+02,0.000000000000000000e+00
9.028000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,6.818700000000000000e+04,-6.800000000000000000e+01,5.540738605842940423e+00,-5.200000000000000000e+01,0.000000000000000000e+00
9.029000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,7.178500000000000000e+04,-6.250000000000000000e+01,5.467107528024429897e+00,-7.800000000000000000e+01,0.000000000000000000e+00
9.028000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,8.862300000000000000e+04,-6.700000000000000000e+01,5.424156065963630091e+00,-9.760000000000000000e+02,0.000000000000000000e+00
9.029000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,8.993900000000000000e+04,-6.250000000000000000e+01,5.375068680751289740e+00,-2.470000000000000000e+02,0.000000000000000000e+00
9.028000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,9.675800000000000000e+04,-6.750000000000000000e+01,5.577554144752189913e+00,-7.160000000000000000e+02,0.000000000000000000e+00
9.029000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,9.810100000000000000e+04,-6.200000000000000000e+01,5.393476450205909600e+00,-3.380000000000000000e+02,0.000000000000000000e+00
9.028000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.164900000000000000e+05,-6.750000000000000000e+01,5.780039608753099856e+00,5.330000000000000000e+02,0.000000000000000000e+00
9.029000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.175770000000000000e+05,-6.300000000000000000e+01,5.448699758569800267e+00,-2.210000000000000000e+02,0.000000000000000000e+00
9.029000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.275910000000000000e+05,-6.250000000000000000e+01,5.522330836388309905e+00,2.990000000000000000e+02,0.000000000000000000e+00
9.028000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.295470000000000000e+05,-6.800000000000000000e+01,5.571418221600650256e+00,-3.900000000000000000e+02,0.000000000000000000e+00
