EPC,Antenna,Channel,TimeStamp/us,RSSI/dBm,Phase/rad,Doppler Shift/Hz,Velocity
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-4.350000000000000000e+01,2.147573103039900122e+00,5.200000000000000000e+01,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.137000000000000000e+03,-4.000000000000000000e+01,3.399301425954579958e+00,2.210000000000000000e+02,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.863900000000000000e+04,-4.350000000000000000e+01,2.141437179888349807e+00,5.200000000000000000e+01,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,2.059600000000000000e+04,-4.000000000000000000e+01,3.368621810196870126e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,3.190000000000000000e+04,-4.350000000000000000e+01,2.184388641949150056e+00,2.080000000000000000e+02,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,3.364700000000000000e+04,-4.000000000000000000e+01,3.374757733348409783e+00,1.040000000000000000e+02,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,4.990900000000000000e+04,-4.000000000000000000e+01,3.380893656499949884e+00,1.560000000000000000e+02,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,5.186900000000000000e+04,-4.350000000000000000e+01,2.141437179888349807e+00,5.200000000000000000e+01,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,5.914300000000000000e+04,-4.000000000000000000e+01,3.393165502803039857e+00,2.210000000000000000e+02,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,6.359300000000000000e+04,-4.350000000000000000e+01,2.178252718797609955e+00,1.560000000000000000e+02,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,7.955100000000000000e+04,-4.000000000000000000e+01,3.374757733348409783e+00,7.800000000000000000e+01,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,8.104500000000000000e+04,-4.350000000000000000e+01,2.172116795646069853e+00,1.560000000000000000e+02,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,9.177600000000000000e+04,-4.350000000000000000e+01,2.135301256736810149e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,9.348600000000000000e+04,-4.050000000000000000e+01,3.380893656499949884e+00,1.300000000000000000e+02,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.084690000000000000e+05,-4.000000000000000000e+01,3.380893656499949884e+00,1.300000000000000000e+02,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.121180000000000000e+05,-4.350000000000000000e+01,2.135301256736810149e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.233770000000000000e+05,-4.050000000000000000e+01,3.374757733348409783e+00,1.300000000000000000e+02,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.248840000000000000e+05,-4.350000000000000000e+01,2.172116795646069853e+00,1.560000000000000000e+02,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.415460000000000000e+05,-4.050000000000000000e+01,3.356349963893780153e+00,2.600000000000000000e+01,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.431800000000000000e+05,-4.350000000000000000e+01,2.184388641949150056e+00,2.080000000000000000e+02,0.000000000000000000e+00
