EPC,Antenna,Channel,TimeStamp/us,RSSI/dBm,Phase/rad,Doppler Shift/Hz,Velocity
8.002000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-5.950000000000000000e+01,5.847534763420060067e+00,4.550000000000000000e+02,0.000000000000000000e+00
8.001000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,6.457000000000000000e+03,-4.900000000000000000e+01,5.086680292628789957e+00,7.800000000000000000e+01,0.000000000000000000e+00
8.002000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,7.705000000000000000e+03,-5.950000000000000000e+01,5.810719224510809688e+00,1.820000000000000000e+02,0.000000000000000000e+00
8.001000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,2.453200000000000000e+04,-4.900000000000000000e+01,5.105088062083409817e+00,1.560000000000000000e+02,0.000000000000000000e+00
8.002000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,2.815900000000000000e+04,-5.950000000000000000e+01,5.847534763420060067e+00,3.250000000000000000e+02,0.000000000000000000e+00
8.002000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,3.439500000000000000e+04,-5.950000000000000000e+01,5.792311455056180058e+00,1.560000000000000000e+02,0.000000000000000000e+00
8.001000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,3.741000000000000000e+04,-4.950000000000000000e+01,5.129631754689579992e+00,2.990000000000000000e+02,0.000000000000000000e+00
8.001000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,5.315400000000000000e+04,-4.900000000000000000e+01,5.080544369477239641e+00,7.800000000000000000e+01,0.000000000000000000e+00
8.002000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,5.572800000000000000e+04,-5.950000000000000000e+01,5.829126993965440207e+00,2.470000000000000000e+02,0.000000000000000000e+00
8.002000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,6.151100000000000000e+04,-5.950000000000000000e+01,5.804583301359270031e+00,7.800000000000000000e+01,0.000000000000000000e+00
8.001000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,6.418200000000000000e+04,-4.900000000000000000e+01,5.098952138931870159e+00,1.040000000000000000e+02,0.000000000000000000e+00
