EPC,Antenna,Channel,TimeStamp/us,RSSI/dBm,Phase/rad,Doppler Shift/Hz,Velocity
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-4.700000000000000000e+01,9.940195505498949924e-01,2.600000000000000000e+01,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,7.403000000000000000e+03,-4.500000000000000000e+01,6.277049384028040357e+00,7.800000000000000000e+01,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.164700000000000000e+04,-4.700000000000000000e+01,1.030835089459150034e+00,1.560000000000000000e+02,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,2.730600000000000000e+04,-4.700000000000000000e+01,1.049242858913780108e+00,3.510000000000000000e+02,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,3.143000000000000000e+04,-4.500000000000000000e+01,6.277049384028040357e+00,1.300000000000000000e+02,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,4.079000000000000000e+04,-4.700000000000000000e+01,1.036971012610689913e+00,2.990000000000000000e+02,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,4.236400000000000000e+04,-4.500000000000000000e+01,6.283185307179589785e+00,1.300000000000000000e+02,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,5.839000000000000000e+04,-4.700000000000000000e+01,9.694758579437250390e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,6.155500000000000000e+04,-4.500000000000000000e+01,6.283185307179589785e+00,1.560000000000000000e+02,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,6.917100000000000000e+04,-4.700000000000000000e+01,9.572040116406399513e-01,2.600000000000000000e+01,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,7.598600000000000000e+04,-4.500000000000000000e+01,6.264777537724960155e+00,1.560000000000000000e+02,0.000000000000000000e+00
1.005000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,8.943100000000000000e+04,-4.700000000000000000e+01,9.878836273983530036e-01,2.470000000000000000e+02,0.000000000000000000e+00
1.006000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,9.250300000000000000e+04,-4.500000000000000000e+01,6.252505691421870182e+00,7.800000000000000000e+01,0.000000000000000000e+00
