EPC,Antenna,Channel,TimeStamp/us,RSSI/dBm,Phase/rad,Doppler Shift/Hz,Velocity
000000000000000000008005,1,1,0,-57,4.34423359129214,156,0
000000000000000000008005,1,1,10798,-57,4.35650543759522,247,0
000000000000000000008005,1,1,26691,-57,4.36877728389831,0,0
000000000000000000008005,1,1,40220,-57,4.27673843662517,-130,0
000000000000000000008005,1,1,58080,-57,4.27673843662517,-247,0
000000000000000000008005,1,1,65643,-57,4.35036951444368,104,0
000000000000000000008005,1,1,86940,-57,4.33196174498905,52,0
000000000000000000008005,1,1,94273,-57,4.36264136074676,156,0
000000000000000000008005,1,1,113264,-57,4.35036951444368,26,0
000000000000000000008005,1,1,123383,-57,4.34423359129214,26,0
000000000000000000008005,1,1,140102,-57,4.36877728389831,299,0
000000000000000000008005,1,1,152214,-57,4.36877728389831,104,0
000000000000000000008005,1,1,168565,-57,4.33196174498905,104,0
000000000000000000008005,1,1,179234,-57,4.32582582183751,0,0
000000000000000000008005,1,1,197220,-57,4.33196174498905,-26,0
000000000000000000008005,1,1,207144,-57,4.37491320704985,273,0
000000000000000000008005,1,1,225897,-57,4.34423359129214,104,0
000000000000000000008005,1,1,232040,-57,4.35650543759522,221,0
000000000000000000008005,1,1,253751,-57,4.33196174498905,78,0
000000000000000000008005,1,1,261765,-56.5,4.32582582183751,0,0
000000000000000000008005,1,1,281995,-56.5,4.32582582183751,-52,0
000000000000000000008005,1,1,288586,-57,4.32582582183751,130,0
000000000000000000008005,1,1,310038,-57,4.35036951444368,221,0
000000000000000000008005,1,1,319792,-57,4.36877728389831,104,0
000000000000000000008005,1,1,335613,-57,4.33196174498905,26,0
000000000000000000008005,1,1,344888,-57,4.33196174498905,52,0
000000000000000000008005,1,1,366082,-56.5,4.34423359129214,130,0
000000000000000000008005,1,1,374786,-56.5,4.30128212923134,26,0
000000000000000000008005,1,1,390101,-57,4.31355397553442,78,0
000000000000000000008005,1,1,403145,-56.5,4.34423359129214,104,0
000000000000000000008005,1,1,421784,-57,4.34423359129214,182,0
000000000000000000008005,1,1,431240,-57,4.31968989868597,104,0
000000000000000000008005,1,1,447915,-57,4.31355397553442,0,0
000000000000000000008005,1,1,457581,-57,4.30741805238288,26,0
000000000000000000008005,1,1,475246,-57,4.33196174498905,182,0
000000000000000000008005,1,1,485639,-56.5,4.31968989868597,52,0
000000000000000000008005,1,1,504029,-56.5,4.31968989868597,104,0
000000000000000000008005,1,1,515876,-57,4.31355397553442,26,0
000000000000000000008005,1,1,530574,-56.5,4.31968989868597,0,0
000000000000000000008005,1,1,539974,-57,4.39332097650448,273,0
000000000000000000008005,1,1,557956,-57,4.30128212923134,182,0
000000000000000000008005,1,1,572330,-56.5,4.30128212923134,0,0
000000000000000000008005,1,1,589477,-56.5,4.31355397553442,-26,0
000000000000000000008005,1,1,598212,-57,4.30741805238288,130,0
000000000000000000008005,1,1,616161,-57,4.31968989868597,52,0
000000000000000000008005,1,1,627594,-57,4.23992289771591,-247,0
000000000000000000008005,1,1,644362,-57,4.31355397553442,-26,0
000000000000000000008005,1,1,656711,-57,4.33809766814059,247,0
000000000000000000008005,1,1,670813,-57,4.30741805238288,26,0
000000000000000000008005,1,1,682195,-57,4.30128212923134,26,0
000000000000000000008005,1,1,700562,-56.5,4.28287435977671,-52,0
000000000000000000008005,1,1,710379,-56.5,4.28287435977671,52,0
000000000000000000008005,1,1,727234,-56.5,4.30128212923134,26,0
000000000000000000008005,1,1,737446,-57,4.32582582183751,52,0
000000000000000000008005,1,1,756936,-57,4.35650543759522,377,0
000000000000000000008005,1,1,765815,-57,4.27673843662517,0,0
000000000000000000008005,1,1,782866,-57,4.30741805238288,182,0
000000000000000000008005,1,1,793490,-57,4.2951462060798,78,0
