EPC,Antenna,Channel,TimeStamp/us,RSSI/dBm,Phase/rad,Doppler Shift/Hz,Velocity
000000000000000000008005,1,1,0,-57.5,4.27673843662517,377,0
000000000000000000008005,1,1,8349,-57.5,4.20310735880666,156,0
000000000000000000008005,1,1,25803,-57.5,4.19697143565511,182,0
000000000000000000008005,1,1,39446,-57.5,4.23992289771591,299,0
000000000000000000008005,1,1,53320,-57.5,4.252194744019,325,0
000000000000000000008005,1,1,67194,-57.5,4.28287435977671,507,0
000000000000000000008005,1,1,83147,-57.5,4.2951462060798,651,0
000000000000000000008005,1,1,94317,-57.5,4.27673843662517,377,0
000000000000000000008005,1,1,111146,-57.5,4.22151512826128,273,0
000000000000000000008005,1,1,119667,-57.5,4.26446659032208,351,0
000000000000000000008005,1,1,136935,-57.5,4.23378697456437,299,0
000000000000000000008005,1,1,150446,-57.5,4.25833066717054,351,0
000000000000000000008005,1,1,167168,-57.5,4.31968989868597,651,0
000000000000000000008005,1,1,174608,-57.5,4.25833066717054,403,0
000000000000000000008005,1,1,195374,-57.5,4.22765105141283,325,0
000000000000000000008005,1,1,206598,-57.5,4.27673843662517,533,0
000000000000000000008005,1,1,224052,-57.5,4.21537920510974,325,0
000000000000000000008005,1,1,233838,-57.5,4.22151512826128,221,0
000000000000000000008005,1,1,251832,-57.5,4.23378697456437,325,0
000000000000000000008005,1,1,259480,-57.5,4.23992289771591,377,0
000000000000000000008005,1,1,278820,-57.5,4.28901028292825,533,0
000000000000000000008005,1,1,290545,-57.5,4.22151512826128,221,0
000000000000000000008005,1,1,307438,-57.5,4.23378697456437,130,0
000000000000000000008005,1,1,317557,-57.5,4.23992289771591,299,0
000000000000000000008005,1,1,334912,-57.5,4.23378697456437,351,0
000000000000000000008005,1,1,347449,-57,4.24605882086745,156,0
000000000000000000008005,1,1,365301,-57.5,4.26446659032208,455,0
000000000000000000008005,1,1,376182,-57.5,4.24605882086745,273,0
000000000000000000008005,1,1,390680,-57.5,4.2092432819582,221,0
000000000000000000008005,1,1,403935,-57.5,4.21537920510974,156,0
000000000000000000008005,1,1,421279,-57.5,4.22151512826128,182,0
000000000000000000008005,1,1,432876,-57,4.19083551250357,130,0
000000000000000000008005,1,1,447294,-58,4.19697143565511,156,0
000000000000000000008005,1,1,459446,-57,4.23378697456437,273,0
000000000000000000008005,1,1,474722,-57.5,4.252194744019,325,0
000000000000000000008005,1,1,486418,-57.5,4.2092432819582,182,0
000000000000000000008005,1,1,501341,-57.5,4.2092432819582,78,0
000000000000000000008005,1,1,513553,-57.5,4.18469958935203,130,0
000000000000000000008005,1,1,532646,-57.5,4.24605882086745,533,0
000000000000000000008005,1,1,539724,-57.5,4.17242774304894,78,0
000000000000000000008005,1,1,558383,-57.5,4.19697143565511,182,0
000000000000000000008005,1,1,570823,-57.5,4.23378697456437,156,0
000000000000000000008005,1,1,589060,-57.5,4.26446659032208,481,0
000000000000000000008005,1,1,599208,-57.5,4.19697143565511,78,0
000000000000000000008005,1,1,615457,-57.5,4.27673843662517,455,0
000000000000000000008005,1,1,627836,-57.5,4.22151512826128,273,0
000000000000000000008005,1,1,641994,-57.5,4.252194744019,429,0
000000000000000000008005,1,1,655658,-57.5,4.24605882086745,481,0
000000000000000000008005,1,1,670005,-57.5,4.23992289771591,299,0
000000000000000000008005,1,1,682676,-57.5,4.28287435977671,559,0
000000000000000000008005,1,1,700155,-57.5,4.252194744019,351,0
000000000000000000008005,1,1,710329,-57.5,4.2092432819582,403,0
000000000000000000008005,1,1,724820,-58,4.2092432819582,130,0
000000000000000000008005,1,1,737500,-57.5,4.27060251347362,585,0
000000000000000000008005,1,1,752620,-57.5,4.31355397553442,807,0
000000000000000000008005,1,1,766626,-57.5,4.22765105141283,221,0
000000000000000000008005,1,1,781176,-57.5,4.19083551250357,156,0
000000000000000000008005,1,1,794010,-58,4.22151512826128,351,0
000000000000000000008005,1,1,808957,-57.5,4.19697143565511,247,0
000000000000000000008005,1,1,820374,-57.5,4.26446659032208,533,0
000000000000000000008005,1,1,840605,-57.5,4.22151512826128,429,0
000000000000000000008005,1,1,847433,-57.5,4.20310735880666,130,0
000000000000000000008005,1,1,867548,-57.5,4.23378697456437,403,0
000000000000000000008005,1,1,875898,-57.5,4.20310735880666,325,0
000000000000000000008005,1,1,896649,-57.5,4.22151512826128,403,0
000000000000000000008005,1,1,907031,-57,4.22765105141283,182,0
000000000000000000008005,1,1,924501,-57.5,4.19697143565511,182,0
000000000000000000008005,1,1,933190,-57.5,4.22765105141283,156,0
000000000000000000008005,1,1,951061,-57.5,4.24605882086745,351,0
000000000000000000008005,1,1,961744,-57.5,4.22765105141283,247,0
000000000000000000008005,1,1,980898,-57.5,4.27060251347362,507,0
000000000000000000008005,1,1,989302,-57.5,4.20310735880666,221,0
000000000000000000008005,1,1,1005595,-58,4.23378697456437,351,0
000000000000000000008005,1,1,1017943,-57.5,4.19697143565511,182,0
000000000000000000008005,1,1,1035453,-57.5,4.23378697456437,377,0
000000000000000000008005,1,1,1046690,-57.5,4.19697143565511,156,0
000000000000000000008005,1,1,1063840,-57.5,4.21537920510974,299,0
000000000000000000008005,1,1,1074815,-57.5,4.22151512826128,221,0
000000000000000000008005,1,1,1091003,-57.5,4.2092432819582,325,0
000000000000000000008005,1,1,1102177,-57.5,4.21537920510974,-26,0
000000000000000000008005,1,1,1121391,-57.5,4.21537920510974,377,0
000000000000000000008005,1,1,1130917,-57.5,4.23992289771591,429,0
000000000000000000008005,1,1,1150340,-57.5,4.19083551250357,507,0
000000000000000000008005,1,1,1160282,-57.5,4.30741805238288,585,0
000000000000000000008005,1,1,1175263,-57.5,4.32582582183751,677,0
000000000000000000008005,1,1,1185880,-57.5,4.22151512826128,455,0
000000000000000000008005,1,1,1205318,-57.5,4.22151512826128,247,0
000000000000000000008005,1,1,1216226,-57.5,4.20310735880666,299,0
000000000000000000008005,1,1,1233592,-57.5,4.2092432819582,325,0
000000000000000000008005,1,1,1243670,-57.5,4.26446659032208,559,0
000000000000000000008005,1,1,1259555,-58,4.22151512826128,351,0
000000000000000000008005,1,1,1268069,-57.5,4.252194744019,507,0
000000000000000000008005,1,1,1288638,-57.5,4.23992289771591,455,0
000000000000000000008005,1,1,1300124,-57.5,4.23378697456437,403,0
000000000000000000008005,1,1,1315623,-57.5,4.26446659032208,429,0
000000000000000000008005,1,1,1326455,-57.5,4.23992289771591,455,0
000000000000000000008005,1,1,1345930,-57.5,4.19083551250357,182,0
000000000000000000008005,1,1,1354293,-57.5,4.27060251347362,559,0
000000000000000000008005,1,1,1374035,-57.5,4.2092432819582,156,0
000000000000000000008005,1,1,1383779,-57.5,4.16015589674586,78,0
000000000000000000008005,1,1,1402477,-57.5,4.23378697456437,299,0
000000000000000000008005,1,1,1408009,-57.5,4.18469958935203,182,0
000000000000000000008005,1,1,1427591,-58,4.252194744019,507,0
000000000000000000008005,1,1,1438167,-57.5,4.22765105141283,273,0
000000000000000000008005,1,1,1455036,-57.5,4.20310735880666,351,0
000000000000000000008005,1,1,1468072,-57.5,4.2092432819582,156,0
000000000000000000008005,1,1,1481782,-57.5,4.2092432819582,156,0
000000000000000000008005,1,1,1495894,-58,4.23378697456437,299,0
000000000000000000008005,1,1,1511624,-57.5,4.19697143565511,273,0
000000000000000000008005,1,1,1524976,-57.5,4.2092432819582,221,0
000000000000000000008005,1,1,1541088,-58,4.25833066717054,651,0
000000000000000000008005,1,1,1552687,-57.5,4.23992289771591,429,0
000000000000000000008005,1,1,1568335,-58,4.22765105141283,299,0
000000000000000000008005,1,1,1580662,-57.5,4.19083551250357,221,0
000000000000000000008005,1,1,1595041,-57.5,4.19083551250357,130,0
000000000000000000008005,1,1,1610512,-58,4.17242774304894,182,0
000000000000000000008005,1,1,1625725,-57.5,4.21537920510974,299,0
000000000000000000008005,1,1,1636328,-57.5,4.2951462060798,533,0
000000000000000000008005,1,1,1653713,-57.5,4.22765105141283,247,0
000000000000000000008005,1,1,1661141,-57.5,4.27060251347362,429,0
000000000000000000008005,1,1,1678333,-58,4.22151512826128,156,0
000000000000000000008005,1,1,1692735,-57.5,4.18469958935203,130,0
000000000000000000008005,1,1,1706734,-57.5,4.22151512826128,221,0
000000000000000000008005,1,1,1719134,-58,4.20310735880666,221,0
000000000000000000008005,1,1,1736751,-57.5,4.20310735880666,351,0
000000000000000000008005,1,1,1744819,-57.5,4.17856366620049,104,0
000000000000000000008005,1,1,1765056,-57.5,4.25833066717054,507,0
000000000000000000008005,1,1,1776126,-57.5,4.22151512826128,325,0
000000000000000000008005,1,1,1790092,-58,4.19697143565511,247,0
000000000000000000008005,1,1,1803841,-57.5,4.23992289771591,403,0
000000000000000000008005,1,1,1817809,-57.5,4.25833066717054,585,0
000000000000000000008005,1,1,1832839,-57.5,4.23378697456437,351,0
000000000000000000008005,1,1,1847019,-57.5,4.28287435977671,585,0
000000000000000000008005,1,1,1856046,-57.5,4.20310735880666,351,0
000000000000000000008005,1,1,1875949,-57.5,4.19083551250357,156,0
000000000000000000008005,1,1,1895909,-57.5,4.25833066717054,455,0
000000000000000000008005,1,1,1914327,-57.5,4.23378697456437,325,0
000000000000000000008005,1,1,1924573,-57.5,4.17856366620049,130,0
000000000000000000008005,1,1,1939203,-57.5,4.2092432819582,221,0
000000000000000000008005,1,1,1950869,-57.5,4.1662918198974,26,0
000000000000000000008005,1,1,1969663,-57.5,4.21537920510974,351,0
000000000000000000008005,1,1,1978776,-57.5,4.252194744019,377,0
000000000000000000008005,1,1,1997686,-57.5,4.25833066717054,624,0
000000000000000000008005,1,1,2007127,-57,4.26446659032208,585,0
000000000000000000008005,1,1,2024557,-57.5,4.2092432819582,325,0
000000000000000000008005,1,1,2035301,-57.5,4.26446659032208,624,0
000000000000000000008005,1,1,2051388,-57.5,4.2092432819582,299,0
000000000000000000008005,1,1,2064669,-57.5,4.19697143565511,299,0
000000000000000000008005,1,1,2080719,-57.5,4.17242774304894,-52,0
000000000000000000008005,1,1,2089014,-58,4.20310735880666,325,0
000000000000000000008005,1,1,2106498,-57.5,4.28901028292825,859,0
000000000000000000008005,1,1,2117594,-57.5,4.13561220413969,78,0
000000000000000000008005,1,1,2135883,-57,4.19083551250357,273,0
000000000000000000008005,1,1,2147356,-58,4.17856366620049,273,0
000000000000000000008005,1,1,2161964,-57.5,4.2092432819582,156,0
000000000000000000008005,1,1,2173139,-58,4.23378697456437,403,0
000000000000000000008005,1,1,2189511,-58.5,4.20310735880666,403,0
000000000000000000008005,1,1,2202082,-58.5,4.19083551250357,247,0
000000000000000000008005,1,1,2219547,-58.5,4.2092432819582,403,0
000000000000000000008005,1,1,2231665,-58.5,4.12947628098815,182,0
000000000000000000008005,1,1,2247674,-59.5,4.17242774304894,455,0
000000000000000000008005,1,1,2257086,-59,4.24605882086745,1015,0
000000000000000000008005,1,1,2273500,-60,4.04357335686655,351,0
000000000000000000008005,1,1,2285039,-60,4.09879666523043,807,0
000000000000000000008005,1,1,2305307,-61,3.85335973916873,-26,0
000000000000000000008005,1,1,2315321,-61.5,3.85335973916873,130,0
000000000000000000008005,1,1,2333635,-62,3.73677719928942,130,0
000000000000000000008005,1,1,2340777,-62.5,3.68155389092554,130,0
000000000000000000008005,1,1,2360361,-64.5,3.65087427516783,937,0
000000000000000000008005,1,1,2372372,-65.5,3.20295188510522,-273,0
000000000000000000008005,1,1,2388548,-65.5,3.04955380631665,507,0
000000000000000000008005,1,1,2397193,-68,2.54027218473862,-859,0
000000000000000000008005,1,1,2465918,-67,0.153398078788564,481,0
000000000000000000008005,1,1,2479695,-65.5,6.27704938402804,351,0
000000000000000000008005,1,1,2497186,-64,6.12978722839102,403,0
000000000000000000008005,1,1,2507525,-63.5,5.97025322645092,325,0
000000000000000000008005,1,1,2525658,-61.5,5.92730176439012,182,0
000000000000000000008005,1,1,2532298,-61,5.90889399493549,104,0
000000000000000000008005,1,1,2553155,-60,5.91502991808703,247,0
000000000000000000008005,1,1,2560679,-59.5,5.9395736106932,156,0
000000000000000000008005,1,1,2587304,-59,5.95184545699629,-52,0
000000000000000000008005,1,1,2594389,-58.5,6.0254765348148,273,0
000000000000000000008005,1,1,2612131,-58.5,6.00706876536017,-182,0
000000000000000000008005,1,1,2624333,-58.5,6.0684279968756,26,0
