EPC,Antenna,Channel,TimeStamp/us,RSSI/dBm,Phase/rad,Doppler Shift/Hz,Velocity
000000000000000000008005,1,1,0,-56.5,4.27060251347362,-104,0
000000000000000000008005,1,1,7661,-56.5,4.28287435977671,-130,0
000000000000000000008005,1,1,28018,-57,4.2951462060798,26,0
000000000000000000008005,1,1,37861,-57,4.26446659032208,26,0
000000000000000000008005,1,1,54151,-57,4.26446659032208,-182,0
000000000000000000008005,1,1,66720,-57,4.27060251347362,-52,0
000000000000000000008005,1,1,84372,-57,4.2951462060798,104,0
000000000000000000008005,1,1,93505,-56.5,4.26446659032208,-52,0
000000000000000000008005,1,1,110620,-57,4.22765105141283,-221,0
000000000000000000008005,1,1,121007,-57,4.252194744019,-78,0
000000000000000000008005,1,1,141350,-57,4.24605882086745,-156,0
000000000000000000008005,1,1,147054,-56.5,4.19083551250357,-377,0
000000000000000000008005,1,1,167942,-57,4.27060251347362,0,0
000000000000000000008005,1,1,175743,-57,4.30128212923134,26,0
000000000000000000008005,1,1,193561,-57,4.2951462060798,182,0
000000000000000000008005,1,1,205290,-57,4.27060251347362,-221,0
000000000000000000008005,1,1,221846,-57,4.27673843662517,-26,0
000000000000000000008005,1,1,235012,-57,4.26446659032208,-52,0
000000000000000000008005,1,1,251794,-57,4.24605882086745,-52,0
000000000000000000008005,1,1,261109,-56.5,4.23378697456437,-377,0
000000000000000000008005,1,1,279695,-57,4.23992289771591,0,0
000000000000000000008005,1,1,289507,-57,4.17856366620049,-481,0
000000000000000000008005,1,1,306680,-56.5,4.24605882086745,-26,0
000000000000000000008005,1,1,317774,-57,4.24605882086745,-247,0
000000000000000000008005,1,1,332726,-56.5,4.25833066717054,-156,0
000000000000000000008005,1,1,345582,-57,4.24605882086745,-130,0
000000000000000000008005,1,1,362248,-57,4.23992289771591,-52,0
000000000000000000008005,1,1,374239,-56.5,4.22151512826128,-299,0
000000000000000000008005,1,1,391338,-57,4.2092432819582,-247,0
000000000000000000008005,1,1,399146,-57.5,4.15401997359432,-585,0
000000000000000000008005,1,1,418411,-57,4.24605882086745,-26,0
000000000000000000008005,1,1,430150,-57,4.26446659032208,-78,0
000000000000000000008005,1,1,447290,-57,4.24605882086745,0,0
000000000000000000008005,1,1,455269,-57,4.26446659032208,-52,0
000000000000000000008005,1,1,474859,-57,4.23992289771591,-156,0
000000000000000000008005,1,1,486062,-57.5,4.252194744019,-26,0
000000000000000000008005,1,1,504666,-57,4.24605882086745,-247,0
000000000000000000008005,1,1,510118,-57,4.2951462060798,156,0
000000000000000000008005,1,1,531815,-57,4.252194744019,-182,0
000000000000000000008005,1,1,542811,-57,4.23992289771591,-156,0
000000000000000000008005,1,1,559926,-57,4.27060251347362,0,0
000000000000000000008005,1,1,568348,-57,4.27060251347362,52,0
000000000000000000008005,1,1,585986,-57,4.22765105141283,-273,0
000000000000000000008005,1,1,597201,-57,4.21537920510974,-130,0
000000000000000000008005,1,1,615682,-57,4.23378697456437,-130,0
000000000000000000008005,1,1,624971,-57.5,4.26446659032208,26,0
000000000000000000008005,1,1,642449,-57,4.18469958935203,-455,0
000000000000000000008005,1,1,652573,-57,4.25833066717054,26,0
000000000000000000008005,1,1,669576,-57,4.23378697456437,-182,0
000000000000000000008005,1,1,682515,-57,4.25833066717054,-52,0
000000000000000000008005,1,1,697766,-57,4.23378697456437,-104,0
000000000000000000008005,1,1,709750,-57.5,4.28901028292825,182,0
000000000000000000008005,1,1,723353,-57,4.32582582183751,0,0
000000000000000000008005,1,1,737472,-57,4.22765105141283,-130,0
000000000000000000008005,1,1,750970,-57,4.28287435977671,156,0
000000000000000000008005,1,1,764983,-57,4.30741805238288,182,0
000000000000000000008005,1,1,781891,-57,4.23992289771591,-130,0
000000000000000000008005,1,1,792304,-57,4.19083551250357,-273,0
000000000000000000008005,1,1,811507,-57,4.252194744019,-78,0
000000000000000000008005,1,1,819063,-56.5,4.22765105141283,-182,0
000000000000000000008005,1,1,838829,-57,4.23992289771591,0,0
000000000000000000008005,1,1,845902,-57,4.22151512826128,-299,0
000000000000000000008005,1,1,866373,-57,4.26446659032208,-130,0
000000000000000000008005,1,1,876166,-57,4.25833066717054,-52,0
000000000000000000008005,1,1,891434,-57.5,4.26446659032208,52,0
000000000000000000008005,1,1,905892,-57,4.17856366620049,-403,0
000000000000000000008005,1,1,923128,-57,4.2092432819582,-130,0
000000000000000000008005,1,1,932637,-57,4.252194744019,26,0
000000000000000000008005,1,1,949891,-57,4.23992289771591,-130,0
000000000000000000008005,1,1,959772,-57,4.17242774304894,-455,0
000000000000000000008005,1,1,977414,-57,4.22765105141283,-182,0
000000000000000000008005,1,1,988298,-57,4.26446659032208,26,0
000000000000000000008005,1,1,1006956,-57,4.27673843662517,52,0
000000000000000000008005,1,1,1015389,-57,4.17856366620049,-429,0
000000000000000000008005,1,1,1032495,-57,4.24605882086745,-26,0
000000000000000000008005,1,1,1041051,-57,4.21537920510974,-104,0
000000000000000000008005,1,1,1059369,-56.5,4.15401997359432,-377,0
000000000000000000008005,1,1,1069816,-57,4.26446659032208,221,0
000000000000000000008005,1,1,1089770,-57,4.20310735880666,-377,0
000000000000000000008005,1,1,1100380,-57,4.25833066717054,-182,0
000000000000000000008005,1,1,1116012,-57,4.25833066717054,-104,0
000000000000000000008005,1,1,1128822,-57,4.21537920510974,-247,0
000000000000000000008005,1,1,1144359,-57,4.22765105141283,-52,0
000000000000000000008005,1,1,1157497,-57,4.17856366620049,-429,0
000000000000000000008005,1,1,1173587,-57,4.2092432819582,-247,0
000000000000000000008005,1,1,1184785,-56.5,4.27060251347362,78,0
000000000000000000008005,1,1,1201353,-57,4.14174812729123,-533,0
000000000000000000008005,1,1,1211483,-57,4.1662918198974,-299,0
000000000000000000008005,1,1,1229079,-57,4.22765105141283,-78,0
000000000000000000008005,1,1,1240760,-57,4.20310735880666,-182,0
000000000000000000008005,1,1,1259472,-57,4.20310735880666,-351,0
000000000000000000008005,1,1,1267688,-57,4.23378697456437,-156,0
000000000000000000008005,1,1,1284191,-57,4.252194744019,0,0
000000000000000000008005,1,1,1293688,-56.5,4.20310735880666,-182,0
000000000000000000008005,1,1,1314967,-57,4.23378697456437,-104,0
000000000000000000008005,1,1,1321812,-57,4.23378697456437,-104,0
000000000000000000008005,1,1,1341702,-57,4.21537920510974,0,0
000000000000000000008005,1,1,1350682,-56.5,4.21537920510974,-130,0
000000000000000000008005,1,1,1369415,-57,4.2951462060798,156,0
000000000000000000008005,1,1,1380189,-57,4.23992289771591,-221,0
000000000000000000008005,1,1,1397893,-57,4.2092432819582,-156,0
000000000000000000008005,1,1,1407287,-57,4.22151512826128,-247,0
000000000000000000008005,1,1,1423460,-56.5,4.27060251347362,221,0
000000000000000000008005,1,1,1436699,-57,4.17856366620049,-299,0
000000000000000000008005,1,1,1455141,-57,4.26446659032208,26,0
000000000000000000008005,1,1,1465204,-57,4.22765105141283,-130,0
000000000000000000008005,1,1,1483220,-57,4.22151512826128,130,0
000000000000000000008005,1,1,1492583,-56.5,4.20310735880666,-247,0
000000000000000000008005,1,1,1511097,-57,4.23378697456437,-26,0
000000000000000000008005,1,1,1521355,-57,4.27673843662517,52,0
000000000000000000008005,1,1,1535133,-57,4.28901028292825,156,0
000000000000000000008005,1,1,1549136,-57,4.17856366620049,-377,0
000000000000000000008005,1,1,1566687,-57,4.22151512826128,-182,0
000000000000000000008005,1,1,1575706,-57,4.2092432819582,-182,0
000000000000000000008005,1,1,1594839,-57,4.19697143565511,-104,0
000000000000000000008005,1,1,1605081,-57,4.252194744019,-26,0
000000000000000000008005,1,1,1623366,-56.5,4.22151512826128,-78,0
000000000000000000008005,1,1,1631123,-57,4.27673843662517,0,0
000000000000000000008005,1,1,1647521,-57,4.2092432819582,-104,0
000000000000000000008005,1,1,1659206,-57,4.19697143565511,-130,0
000000000000000000008005,1,1,1676061,-57,4.252194744019,-26,0
000000000000000000008005,1,1,1687024,-57,4.19083551250357,-325,0
000000000000000000008005,1,1,1704742,-57,4.24605882086745,78,0
000000000000000000008005,1,1,1717552,-57,4.23378697456437,0,0
000000000000000000008005,1,1,1732528,-57,4.22765105141283,-130,0
000000000000000000008005,1,1,1742852,-57.5,4.22765105141283,-130,0
000000000000000000008005,1,1,1758651,-57,4.14788405044277,-533,0
000000000000000000008005,1,1,1772200,-57,4.20310735880666,-182,0
000000000000000000008005,1,1,1788569,-57,4.22151512826128,-130,0
000000000000000000008005,1,1,1799567,-57.5,4.20310735880666,-104,0
000000000000000000008005,1,1,1817825,-57,4.20310735880666,-247,0
000000000000000000008005,1,1,1829040,-57,4.24605882086745,26,0
000000000000000000008005,1,1,1845378,-57,4.21537920510974,-273,0
000000000000000000008005,1,1,1856250,-57,4.2092432819582,-156,0
000000000000000000008005,1,1,1873228,-57.5,4.19083551250357,-273,0
000000000000000000008005,1,1,1885538,-57.5,4.23992289771591,52,0
000000000000000000008005,1,1,1907687,-57,4.252194744019,26,0
000000000000000000008005,1,1,1919146,-57,4.22765105141283,-130,0
000000000000000000008005,1,1,1934233,-57,4.20310735880666,-299,0
000000000000000000008005,1,1,1946573,-57,4.2092432819582,-130,0
000000000000000000008005,1,1,1962202,-57,4.21537920510974,-221,0
000000000000000000008005,1,1,1975646,-57,4.19697143565511,-325,0
000000000000000000008005,1,1,1991186,-57,4.2092432819582,-26,0
000000000000000000008005,1,1,2004399,-57,4.17242774304894,-325,0
000000000000000000008005,1,1,2021327,-57,4.14174812729123,-507,0
000000000000000000008005,1,1,2032341,-56.5,4.17856366620049,-481,0
000000000000000000008005,1,1,2045824,-57,4.24605882086745,0,0
000000000000000000008005,1,1,2057197,-57,4.22151512826128,-130,0
000000000000000000008005,1,1,2078595,-57,4.19697143565511,-299,0
000000000000000000008005,1,1,2085909,-57,4.24605882086745,-78,0
000000000000000000008005,1,1,2106394,-56.5,4.20310735880666,-182,0
000000000000000000008005,1,1,2115261,-57,4.25833066717054,221,0
000000000000000000008005,1,1,2133018,-57,4.20310735880666,-273,0
000000000000000000008005,1,1,2143472,-57,4.18469958935203,-325,0
000000000000000000008005,1,1,2157231,-57,4.22151512826128,-104,0
000000000000000000008005,1,1,2169173,-57,4.2092432819582,-26,0
000000000000000000008005,1,1,2185788,-57,4.22765105141283,0,0
000000000000000000008005,1,1,2199067,-57,4.22151512826128,-78,0
000000000000000000008005,1,1,2213054,-57,4.19697143565511,-182,0
000000000000000000008005,1,1,2226820,-57,4.19083551250357,-247,0
000000000000000000008005,1,1,2244828,-57.5,4.18469958935203,-299,0
000000000000000000008005,1,1,2254075,-57,4.17242774304894,-247,0
000000000000000000008005,1,1,2272871,-57,4.08652481892735,-729,0
000000000000000000008005,1,1,2282700,-56.5,4.31968989868597,403,0
000000000000000000008005,1,1,2300415,-57,4.17242774304894,-325,0
000000000000000000008005,1,1,2310070,-57,4.31355397553442,325,0
000000000000000000008005,1,1,2327951,-57,4.2092432819582,-26,0
000000000000000000008005,1,1,2338034,-57,4.21537920510974,-104,0
000000000000000000008005,1,1,2356327,-57,4.25833066717054,26,0
000000000000000000008005,1,1,2364972,-56.5,4.19083551250357,-247,0
000000000000000000008005,1,1,2384609,-57,4.252194744019,52,0
000000000000000000008005,1,1,2391212,-57.5,4.252194744019,-78,0
000000000000000000008005,1,1,2412880,-57,4.27060251347362,104,0
000000000000000000008005,1,1,2422411,-57,4.20310735880666,-52,0
000000000000000000008005,1,1,2440155,-57,4.23992289771591,-52,0
000000000000000000008005,1,1,2448932,-57,4.21537920510974,-130,0
000000000000000000008005,1,1,2464278,-57,4.22151512826128,-156,0
000000000000000000008005,1,1,2479175,-57,4.22765105141283,-104,0
000000000000000000008005,1,1,2494511,-57,4.25833066717054,78,0
000000000000000000008005,1,1,2504000,-57,4.19083551250357,-325,0
000000000000000000008005,1,1,2523637,-57,4.21537920510974,-78,0
000000000000000000008005,1,1,2535755,-57,4.24605882086745,0,0
000000000000000000008005,1,1,2551066,-56.5,4.25833066717054,-156,0
000000000000000000008005,1,1,2563007,-56.5,4.24605882086745,-156,0
000000000000000000008005,1,1,2579165,-57,4.2092432819582,-221,0
000000000000000000008005,1,1,2590013,-57,4.23992289771591,-130,0
000000000000000000008005,1,1,2606352,-57,4.21537920510974,-221,0
000000000000000000008005,1,1,2615962,-57,4.30128212923134,104,0
000000000000000000008005,1,1,2634963,-57,4.23378697456437,-221,0
000000000000000000008005,1,1,2642778,-56.5,4.22765105141283,-156,0
000000000000000000008005,1,1,2664721,-56.5,4.23992289771591,-78,0
000000000000000000008005,1,1,2674860,-57,4.26446659032208,26,0
000000000000000000008005,1,1,2691466,-57,4.252194744019,-78,0
000000000000000000008005,1,1,2701202,-57,4.19697143565511,-299,0
000000000000000000008005,1,1,2719788,-57,4.27673843662517,52,0
000000000000000000008005,1,1,2727048,-57,4.28901028292825,104,0
000000000000000000008005,1,1,2745776,-57,4.28901028292825,52,0
000000000000000000008005,1,1,2759646,-57,4.23992289771591,-104,0
000000000000000000008005,1,1,2774896,-56.5,4.2951462060798,0,0
000000000000000000008005,1,1,2785738,-57,4.21537920510974,-299,0
000000000000000000008005,1,1,2803182,-57,4.27060251347362,-156,0
