EPC,Antenna,Channel,TimeStamp/us,RSSI/dBm,Phase/rad,Doppler Shift/Hz,Velocity
000000000000000000001006,1,1,0,-47,1.18423316824772,26,0
000000000000000000001005,1,1,5495,-45.5,2.71821395613336,182,0
000000000000000000001005,1,1,18420,-45.5,2.71821395613336,182,0
000000000000000000001006,1,1,21988,-47,1.15355355249,-26,0
000000000000000000001005,1,1,30912,-45.5,2.73662172558798,221,0
000000000000000000001006,1,1,31975,-47,1.15968947564155,78,0
000000000000000000001005,1,1,51372,-45.5,2.73048580243644,208,0
000000000000000000001006,1,1,53802,-47,1.15968947564155,0,0
000000000000000000001005,1,1,64049,-45.5,2.73048580243644,221,0
000000000000000000001006,1,1,65426,-47,1.16582539879309,52,0
000000000000000000001006,1,1,83634,-46.5,1.17809724509617,104,0
000000000000000000001005,1,1,84771,-45.5,2.73662172558798,221,0
000000000000000000001006,1,1,92360,-47,1.19036909139926,104,0
000000000000000000001005,1,1,96016,-45.5,2.71821395613336,208,0
000000000000000000001006,1,1,108650,-47,1.19036909139926,52,0
000000000000000000001005,1,1,112956,-45.5,2.71821395613336,221,0
000000000000000000001006,1,1,119700,-47,1.14128170618692,-52,0
000000000000000000001005,1,1,124210,-45.5,2.7243498792849,221,0
000000000000000000001006,1,1,141559,-47,1.1965050145508,52,0
000000000000000000001005,1,1,143507,-45.5,2.71821395613336,221,0
000000000000000000001006,1,1,150940,-47,1.16582539879309,0,0
000000000000000000001005,1,1,155738,-45.5,2.70594210983027,182,0
000000000000000000001005,1,1,169199,-45.5,2.70594210983027,156,0
000000000000000000001006,1,1,171999,-47,1.1965050145508,26,0
000000000000000000001006,1,1,181334,-47,1.1965050145508,-52,0
000000000000000000001005,1,1,182415,-45.5,2.73048580243644,247,0
000000000000000000001005,1,1,201193,-45.5,2.69980618667873,156,0
000000000000000000001006,1,1,202880,-47,1.22718463030851,0,0
000000000000000000001005,1,1,211542,-45.5,2.71821395613336,208,0
000000000000000000001006,1,1,215096,-47,1.1965050145508,-156,0
000000000000000000001006,1,1,230216,-47,1.25172832291468,130,0
000000000000000000001005,1,1,232434,-45.5,2.7243498792849,273,0
000000000000000000001006,1,1,241712,-47,1.21491278400543,-130,0
000000000000000000001005,1,1,243843,-45.5,2.69367026352719,156,0
000000000000000000001006,1,1,260696,-47,1.27013609236931,78,0
000000000000000000001005,1,1,262502,-45.5,2.71207803298181,221,0
000000000000000000001005,1,1,272121,-45.5,2.65685472461793,0,0
000000000000000000001006,1,1,273756,-47,1.25786424606623,26,0
000000000000000000001006,1,1,288380,-47,1.24559239976314,-26,0
000000000000000000001005,1,1,290584,-45.5,2.67526249407256,78,0
000000000000000000001005,1,1,302188,-45.5,2.71207803298181,247,0
000000000000000000001006,1,1,303748,-47,1.25786424606623,52,0
000000000000000000001005,1,1,318860,-45.5,2.71207803298181,208,0
000000000000000000001006,1,1,321732,-47,1.26400016921777,52,0
000000000000000000001005,1,1,331059,-45.5,2.65071880146639,52,0
000000000000000000001006,1,1,335214,-46.5,1.22718463030851,-78,0
000000000000000000001005,1,1,348764,-45.5,2.69980618667873,247,0
000000000000000000001006,1,1,352703,-47,1.2394564766116,-78,0
000000000000000000001006,1,1,359967,-47,1.25172832291468,104,0
000000000000000000001005,1,1,362183,-45.5,2.67526249407256,52,0
000000000000000000001005,1,1,381610,-45.5,2.69367026352719,130,0
000000000000000000001006,1,1,383328,-46.5,1.2394564766116,26,0
000000000000000000001005,1,1,391930,-45.5,2.71207803298181,221,0
000000000000000000001006,1,1,394375,-46.5,1.22718463030851,-52,0
000000000000000000001006,1,1,411357,-47,1.22718463030851,-26,0
000000000000000000001005,1,1,413962,-45.5,2.69980618667873,182,0
000000000000000000001005,1,1,421481,-45.5,2.71207803298181,208,0
000000000000000000001006,1,1,423926,-46.5,1.21491278400543,-52,0
000000000000000000001005,1,1,438286,-45.5,2.69367026352719,156,0
000000000000000000001006,1,1,440077,-46.5,1.22718463030851,78,0
000000000000000000001006,1,1,450741,-46.5,1.22718463030851,26,0
000000000000000000001005,1,1,453604,-45.5,2.69980618667873,221,0
000000000000000000001005,1,1,468183,-45.5,2.70594210983027,273,0
000000000000000000001006,1,1,472448,-47,1.21491278400543,26,0
000000000000000000001006,1,1,483765,-46.5,1.19036909139926,0,0
000000000000000000001005,1,1,485087,-45.5,2.65071880146639,-26,0
000000000000000000001005,1,1,499182,-45.5,2.63231103201176,-104,0
000000000000000000001006,1,1,501956,-47,1.1965050145508,-26,0
000000000000000000001006,1,1,511011,-46.5,1.19036909139926,26,0
000000000000000000001005,1,1,512903,-45.5,2.71821395613336,273,0
000000000000000000001006,1,1,529328,-47,1.18423316824772,-52,0
000000000000000000001005,1,1,531533,-45.5,2.68753434037564,156,0
000000000000000000001006,1,1,550068,-47,1.23332055346006,52,0
000000000000000000001005,1,1,552060,-45.5,2.68753434037564,78,0
000000000000000000001005,1,1,565929,-45.5,2.69980618667873,182,0
000000000000000000001006,1,1,568845,-47,1.20264093770234,-104,0
000000000000000000001005,1,1,577445,-45.5,2.73048580243644,273,0
000000000000000000001006,1,1,582067,-47,1.22104870715697,-26,0
000000000000000000001005,1,1,597483,-45.5,2.73048580243644,247,0
000000000000000000001006,1,1,599640,-46.5,1.2394564766116,0,0
000000000000000000001006,1,1,607857,-46.5,1.21491278400543,-26,0
000000000000000000001005,1,1,609306,-45.5,2.69980618667873,208,0
000000000000000000001006,1,1,626585,-46.5,1.25172832291468,182,0
000000000000000000001005,1,1,629290,-45.5,2.66912657092102,78,0
000000000000000000001006,1,1,639684,-46.5,1.22718463030851,156,0
000000000000000000001005,1,1,641646,-45.5,2.70594210983027,221,0
000000000000000000001006,1,1,654852,-47,1.23332055346006,52,0
000000000000000000001005,1,1,656729,-45.5,2.6813984172241,221,0
000000000000000000001005,1,1,671235,-45.5,2.70594210983027,208,0
000000000000000000001006,1,1,672327,-46.5,1.20877686085389,26,0
000000000000000000001006,1,1,688134,-47,1.22104870715697,26,0
000000000000000000001005,1,1,691223,-45.5,2.7243498792849,208,0
000000000000000000001005,1,1,698623,-45.5,2.6813984172241,26,0
000000000000000000001006,1,1,700786,-47,1.23332055346006,52,0
000000000000000000001005,1,1,718091,-45.5,2.73662172558798,221,0
000000000000000000001006,1,1,720051,-47,1.23332055346006,-52,0
000000000000000000001005,1,1,730585,-45.5,2.71821395613336,78,0
000000000000000000001006,1,1,732204,-47,1.27013609236931,78,0
000000000000000000001005,1,1,745715,-45.5,2.73048580243644,156,0
000000000000000000001006,1,1,746793,-47,1.27013609236931,52,0
000000000000000000001006,1,1,758852,-47,1.27013609236931,26,0
000000000000000000001005,1,1,762153,-45.5,2.74889357189107,208,0
000000000000000000001005,1,1,780161,-45.5,2.74275764873953,130,0
000000000000000000001006,1,1,781668,-47,1.26400016921777,-104,0
000000000000000000001006,1,1,790148,-47,1.31308755443011,52,0
000000000000000000001005,1,1,791741,-45.5,2.76116541819415,221,0
