EPC,Antenna,Channel,TimeStamp/us,RSSI/dBm,Phase/rad,Doppler Shift/Hz,Velocity
000000000000000000001006,1,1,0,-42,3.2581751934691,130,0
000000000000000000001005,1,1,1122,-45,2.30710710498,182,0
000000000000000000001005,1,1,18702,-45,2.31324302813155,208,0
000000000000000000001006,1,1,20037,-42,3.27658296292373,104,0
000000000000000000001005,1,1,26292,-45,2.30097118182846,182,0
000000000000000000001006,1,1,32129,-42,3.27044703977219,221,0
000000000000000000001006,1,1,49252,-42,3.26431111662064,78,0
000000000000000000001005,1,1,51485,-45.5,2.31937895128309,208,0
000000000000000000001005,1,1,59177,-45,2.30710710498,182,0
000000000000000000001006,1,1,61139,-42,3.29499073237836,325,0
000000000000000000001006,1,1,88004,-42,3.22749557771139,26,0
000000000000000000001005,1,1,89612,-45,2.33165079758617,299,0
000000000000000000001006,1,1,98746,-42,3.26431111662064,130,0
000000000000000000001005,1,1,100494,-45,2.31324302813155,208,0
000000000000000000001006,1,1,114726,-42,3.30726257868144,299,0
000000000000000000001005,1,1,119466,-45,2.28869933552538,130,0
000000000000000000001006,1,1,128429,-42,3.24590334716602,26,0
000000000000000000001005,1,1,130449,-45,2.33165079758617,247,0
000000000000000000001005,1,1,145876,-45,2.27642748922229,52,0
000000000000000000001006,1,1,148265,-42,3.27658296292373,156,0
000000000000000000001005,1,1,157117,-45,2.28256341237383,104,0
000000000000000000001006,1,1,158977,-42,3.25203927031756,104,0
000000000000000000001005,1,1,176382,-45,2.31937895128309,221,0
000000000000000000001006,1,1,178996,-42,3.28885480922681,221,0
000000000000000000001005,1,1,190166,-45,2.30097118182846,182,0
000000000000000000001006,1,1,191742,-42,3.27658296292373,182,0
000000000000000000001005,1,1,208463,-45,2.30710710498,182,0
000000000000000000001006,1,1,209940,-42,3.24590334716602,52,0
000000000000000000001005,1,1,218463,-45,2.30710710498,208,0
000000000000000000001006,1,1,221706,-42,3.26431111662064,156,0
000000000000000000001005,1,1,238745,-45,2.30097118182846,208,0
000000000000000000001006,1,1,240465,-42,3.27658296292373,273,0
000000000000000000001006,1,1,252396,-42,3.27044703977219,182,0
000000000000000000001005,1,1,253675,-45,2.30097118182846,130,0
000000000000000000001005,1,1,269748,-45,2.32551487443463,247,0
000000000000000000001006,1,1,271434,-42,3.23976742401447,0,0
000000000000000000001006,1,1,279701,-42,3.25203927031756,78,0
000000000000000000001005,1,1,283359,-45,2.30710710498,156,0
000000000000000000001005,1,1,297755,-45,2.28869933552538,104,0
000000000000000000001006,1,1,299074,-42,3.23976742401447,52,0
000000000000000000001006,1,1,309537,-42,3.27658296292373,156,0
000000000000000000001005,1,1,311728,-45,2.31324302813155,208,0
000000000000000000001005,1,1,328734,-45.5,2.33165079758617,325,0
000000000000000000001006,1,1,332447,-42,3.27658296292373,130,0
000000000000000000001005,1,1,339880,-45,2.31324302813155,221,0
000000000000000000001006,1,1,342252,-42,3.27044703977219,156,0
000000000000000000001006,1,1,357123,-42,3.27658296292373,156,0
000000000000000000001005,1,1,362162,-45,2.31324302813155,221,0
000000000000000000001005,1,1,367514,-45,2.33165079758617,273,0
000000000000000000001006,1,1,372645,-42,3.29499073237836,156,0
000000000000000000001006,1,1,386390,-42,3.2581751934691,52,0
000000000000000000001005,1,1,389911,-45,2.31937895128309,182,0
