EPC,Antenna,Channel,TimeStamp/us,RSSI/dBm,Phase/rad,Doppler Shift/Hz,Velocity
000000000000000000008001,1,1,0,-48.5,5.35052498814512,182,0
000000000000000000008002,1,1,2800,-64,4.68784528777852,130,0
000000000000000000008002,1,1,11065,-64,4.65716567202081,130,0
000000000000000000008001,1,1,12201,-48.5,5.35666091129666,247,0
000000000000000000008001,1,1,28524,-48.5,5.3198453723874,26,0
000000000000000000008002,1,1,31355,-64,4.73079674983932,455,0
000000000000000000008002,1,1,40169,-63.5,4.74920451929395,481,0
000000000000000000008001,1,1,42752,-48.5,5.33825314184203,104,0
000000000000000000008001,1,1,55777,-48.5,5.33211721869049,130,0
000000000000000000008002,1,1,61027,-63.5,4.70625305723315,351,0
000000000000000000008001,1,1,66828,-48.5,5.31370944923586,26,0
000000000000000000008002,1,1,67921,-63.5,4.67557344147543,182,0
000000000000000000008001,1,1,83921,-48.5,5.30757352608432,0,0
000000000000000000008002,1,1,89174,-63.5,4.66943751832389,-52,0
000000000000000000008002,1,1,96968,-63.5,4.7430685961424,455,0
000000000000000000008001,1,1,98699,-48.5,5.32598129553895,78,0
000000000000000000008002,1,1,111569,-63.5,4.68784528777852,78,0
000000000000000000008001,1,1,114896,-48,5.32598129553895,52,0
000000000000000000008001,1,1,122848,-48.5,5.33211721869049,78,0
000000000000000000008002,1,1,125892,-64,4.63262197941464,130,0
000000000000000000008001,1,1,140991,-48.5,5.32598129553895,78,0
000000000000000000008002,1,1,142935,-63.5,4.66330159517235,78,0
000000000000000000008002,1,1,148873,-64,4.68170936462698,26,0
000000000000000000008001,1,1,151033,-48.5,5.33211721869049,104,0
000000000000000000008002,1,1,167641,-64,4.59580644050538,-221,0
000000000000000000008001,1,1,170071,-48,5.33211721869049,104,0
000000000000000000008001,1,1,178919,-48.5,5.32598129553895,78,0
000000000000000000008002,1,1,181335,-64,4.66943751832389,182,0
000000000000000000008002,1,1,195218,-64,4.66943751832389,325,0
000000000000000000008001,1,1,198802,-48.5,5.3198453723874,78,0
000000000000000000008002,1,1,206772,-63.5,4.68170936462698,507,0
000000000000000000008001,1,1,209214,-48.5,5.31370944923586,26,0
000000000000000000008002,1,1,225387,-64,4.65102974886926,247,0
000000000000000000008001,1,1,226933,-48.5,5.3198453723874,78,0
000000000000000000008001,1,1,233972,-48.5,5.3198453723874,130,0
000000000000000000008002,1,1,237001,-64,4.67557344147543,247,0
000000000000000000008002,1,1,252589,-64,4.65716567202081,78,0
000000000000000000008001,1,1,255120,-48.5,5.3198453723874,104,0
000000000000000000008001,1,1,261627,-48.5,5.32598129553895,104,0
000000000000000000008002,1,1,265027,-64,4.71238898038469,403,0
000000000000000000008002,1,1,278358,-64,4.69398121093006,221,0
000000000000000000008001,1,1,279931,-48.5,5.32598129553895,182,0
000000000000000000008002,1,1,288155,-64.5,4.76761228874857,807,0
000000000000000000008001,1,1,292814,-48.5,5.32598129553895,104,0
000000000000000000008002,1,1,308590,-64,4.60807828680847,-247,0
000000000000000000008001,1,1,310051,-48.5,5.31370944923586,52,0
000000000000000000008001,1,1,317698,-48.5,5.29530167978123,0,0
000000000000000000008002,1,1,321186,-64,4.64489382571772,78,0
000000000000000000008002,1,1,332766,-64.5,4.62648605626309,26,0
000000000000000000008001,1,1,337047,-48.5,5.30757352608432,78,0
000000000000000000008002,1,1,345926,-64,4.68170936462698,247,0
000000000000000000008001,1,1,348402,-48.5,5.33825314184203,182,0
000000000000000000008002,1,1,362518,-63.5,4.64489382571772,221,0
000000000000000000008001,1,1,363865,-48,5.33211721869049,156,0
000000000000000000008001,1,1,375010,-48.5,5.3198453723874,104,0
000000000000000000008002,1,1,377099,-64,4.59580644050538,26,0
000000000000000000008002,1,1,390658,-64,4.52831128583841,-507,0
000000000000000000008001,1,1,392603,-48.5,5.31370944923586,104,0
000000000000000000008001,1,1,400337,-48.5,5.31370944923586,104,0
000000000000000000008002,1,1,403924,-64,4.61421420996001,-52,0
000000000000000000008002,1,1,418582,-63.5,4.69398121093006,299,0
000000000000000000008001,1,1,421111,-48.5,5.3198453723874,52,0
