EPC,Antenna,Channel,TimeStamp/us,RSSI/dBm,Phase/rad,Doppler Shift/Hz,Velocity
000000000000000000001005,1,1,0,-43.5,4.44240836171682,104,0
000000000000000000001005,1,1,10088,-43.5,4.47308797747453,208,0
000000000000000000001006,1,1,14324,-47.5,3.12318488413517,156,0
000000000000000000001005,1,1,28644,-43.5,4.49149574692916,247,0
000000000000000000001006,1,1,30220,-47.5,3.12318488413517,156,0
000000000000000000001006,1,1,42356,-47,3.12932080728671,182,0
000000000000000000001005,1,1,45090,-43.5,4.47308797747453,299,0
000000000000000000001006,1,1,60347,-47,3.11704896098362,78,0
000000000000000000001005,1,1,63192,-44,4.43013651541373,104,0
000000000000000000001006,1,1,77575,-47,3.11091303783208,130,0
000000000000000000001005,1,1,78983,-43.5,4.47308797747453,247,0
000000000000000000001006,1,1,92224,-47,3.08636934522591,78,0
000000000000000000001005,1,1,97814,-44,4.49149574692916,221,0
000000000000000000001006,1,1,103334,-47,3.11704896098362,221,0
000000000000000000001005,1,1,108746,-44,4.46081613117144,130,0
000000000000000000001006,1,1,123927,-47,3.10477711468054,299,0
000000000000000000001005,1,1,125944,-44,4.46081613117144,208,0
000000000000000000001005,1,1,134343,-43.5,4.47922390062607,208,0
000000000000000000001006,1,1,138146,-47,3.098641191529,182,0
000000000000000000001005,1,1,152583,-43.5,4.49149574692916,299,0
000000000000000000001006,1,1,154985,-47,3.09250526837745,104,0
000000000000000000001006,1,1,167107,-47,3.08636934522591,130,0
000000000000000000001005,1,1,168586,-43.5,4.52217536268687,351,0
000000000000000000001006,1,1,186421,-47,3.08636934522591,104,0
000000000000000000001005,1,1,187813,-43.5,4.47922390062607,182,0
000000000000000000001005,1,1,198737,-43.5,4.4546802080199,104,0
000000000000000000001006,1,1,200685,-47,3.08023342207437,156,0
000000000000000000001005,1,1,214440,-43.5,4.49149574692916,299,0
000000000000000000001006,1,1,217420,-47,3.098641191529,156,0
000000000000000000001005,1,1,228188,-43.5,4.47308797747453,78,0
000000000000000000001006,1,1,230348,-47,3.06796157577128,78,0
000000000000000000001006,1,1,245376,-47,3.10477711468054,273,0
000000000000000000001005,1,1,248067,-43.5,4.49149574692916,208,0
000000000000000000001006,1,1,264259,-47,3.098641191529,273,0
000000000000000000001005,1,1,266719,-43.5,4.48535982377761,104,0
000000000000000000001005,1,1,282536,-43.5,4.46695205432299,130,0
000000000000000000001006,1,1,286089,-47,3.12318488413517,247,0
000000000000000000001006,1,1,305459,-47,3.14772857674134,273,0
000000000000000000001005,1,1,309291,-43.5,4.48535982377761,273,0
000000000000000000001005,1,1,326914,-43.5,4.44854428486836,247,0
000000000000000000001006,1,1,328620,-47,3.14159265358979,247,0
000000000000000000001005,1,1,342592,-43.5,4.44854428486836,208,0
000000000000000000001006,1,1,345766,-46.5,3.11091303783208,156,0
000000000000000000001006,1,1,360609,-47,3.08636934522591,104,0
000000000000000000001005,1,1,362858,-43.5,4.44854428486836,130,0
000000000000000000001005,1,1,374671,-43.5,4.39945689965602,-26,0
000000000000000000001006,1,1,376436,-46.5,3.07409749892282,130,0
000000000000000000001005,1,1,393451,-43.5,4.46695205432299,247,0
000000000000000000001006,1,1,396642,-46.5,3.02501011371048,247,0
000000000000000000001006,1,1,404880,-46.5,3.00046642110431,182,0
000000000000000000001005,1,1,408746,-43.5,4.46695205432299,299,0
000000000000000000001006,1,1,431641,-46.5,2.98819457480123,182,0
000000000000000000001005,1,1,434514,-43.5,4.46695205432299,104,0
000000000000000000001005,1,1,444852,-43.5,4.48535982377761,325,0
000000000000000000001006,1,1,450085,-47,2.99433049795277,130,0
000000000000000000001006,1,1,464727,-47.5,3.04955380631665,156,0
000000000000000000001005,1,1,465964,-43.5,4.43013651541373,78,0
000000000000000000001006,1,1,475363,-47.5,3.08636934522591,130,0
000000000000000000001005,1,1,477340,-43.5,4.41786466911065,78,0
000000000000000000001005,1,1,497783,-43.5,4.43013651541373,156,0
000000000000000000001006,1,1,502390,-47.5,3.15386449989288,130,0
000000000000000000001006,1,1,509976,-47,3.13545673043825,78,0
000000000000000000001005,1,1,511696,-43.5,4.44854428486836,130,0
000000000000000000001000,1,1,513508,-63.5,3.76745681504713,-26,0
000000000000000000001005,1,1,529556,-43.5,4.46081613117144,221,0
000000000000000000001000,1,1,532515,-64.5,3.77972866135022,-312,0
000000000000000000001006,1,1,534720,-47,3.12318488413517,130,0
000000000000000000001005,1,1,542855,-44,4.47308797747453,299,0
000000000000000000001006,1,1,544331,-47,3.10477711468054,130,0
000000000000000000001006,1,1,563206,-47,3.08636934522591,130,0
000000000000000000001005,1,1,565880,-43.5,4.44240836171682,182,0
000000000000000000001006,1,1,579721,-47,3.07409749892282,182,0
000000000000000000001005,1,1,581938,-43.5,4.4117287459591,0,0
000000000000000000001006,1,1,601999,-47,3.0127382674074,-52,0
000000000000000000001005,1,1,603591,-44,4.44854428486836,104,0
000000000000000000001006,1,1,613247,-47,3.03728196001357,104,0
000000000000000000001005,1,1,614994,-43.5,4.47308797747453,182,0
000000000000000000001006,1,1,630141,-47,3.04955380631665,221,0
000000000000000000001005,1,1,632354,-44,4.46695205432299,0,0
000000000000000000001000,1,1,634337,-64,3.45452473431846,520,0
000000000000000000001006,1,1,641096,-47,3.03114603686203,78,0
000000000000000000001005,1,1,645414,-43.5,4.43627243856527,-156,0
000000000000000000001000,1,1,646892,-65,3.43611696486384,-26,0
000000000000000000001000,1,1,660998,-64.5,3.65701019831937,651,0
000000000000000000001006,1,1,662860,-47.5,3.12318488413517,221,0
000000000000000000001005,1,1,667226,-43.5,4.49149574692916,208,0
000000000000000000001006,1,1,676232,-47.5,3.12932080728671,104,0
000000000000000000001000,1,1,678480,-65,3.42998104171229,-247,0
000000000000000000001005,1,1,680227,-43.5,4.46695205432299,104,0
000000000000000000001006,1,1,696509,-47,3.17227226934751,130,0
000000000000000000001005,1,1,698112,-43.5,4.4117287459591,-26,0
000000000000000000001005,1,1,707719,-43.5,4.43627243856527,182,0
000000000000000000001006,1,1,712444,-47,3.17840819249905,247,0
000000000000000000001005,1,1,725305,-43.5,4.40559282280756,130,0
000000000000000000001006,1,1,726953,-47,3.11704896098362,156,0
000000000000000000001000,1,1,734810,-65,3.78586458450176,468,0
000000000000000000001006,1,1,742583,-46.5,3.08023342207437,182,0
000000000000000000001000,1,1,744306,-66,3.81654420025948,1054,0
000000000000000000001005,1,1,746054,-43.5,4.42400059226219,208,0
000000000000000000001005,1,1,761784,-44,4.42400059226219,156,0
000000000000000000001006,1,1,766807,-46.5,2.9697868053466,104,0
000000000000000000001000,1,1,768736,-63.5,3.99448597165421,1093,0
000000000000000000001000,1,1,776226,-65,3.68768981407708,807,0
000000000000000000001006,1,1,778457,-47,2.99433049795277,247,0
000000000000000000001005,1,1,780177,-43.5,4.4117287459591,78,0
000000000000000000001000,1,1,795030,-64,3.66928204462245,-130,0
000000000000000000001005,1,1,797021,-43.5,4.44854428486836,221,0
000000000000000000001006,1,1,799581,-47,3.00660234425586,156,0
000000000000000000001006,1,1,811336,-47,3.03114603686203,247,0
000000000000000000001005,1,1,812712,-44,4.4117287459591,-52,0
000000000000000000001000,1,1,814203,-64.5,3.68768981407708,26,0
