EPC,Antenna,Channel,TimeStamp/us,RSSI/dBm,Phase/rad,Doppler Shift/Hz,Velocity
000000000000000000008005,4,1,0,-60,1.14741762933846,52,0
000000000000000000008005,4,1,10026,-59.5,1.12287393673229,-104,0
000000000000000000008005,4,1,26056,-60,1.16582539879309,26,0
000000000000000000008005,4,1,32661,-60,1.15968947564155,52,0
000000000000000000008005,4,1,48441,-59.5,1.16582539879309,52,0
000000000000000000008005,4,1,57650,-60,1.19036909139926,52,0
000000000000000000008005,4,1,77935,-60,1.13514578303537,-104,0
000000000000000000008005,4,1,86077,-60,1.18423316824772,130,0
000000000000000000008005,4,1,103481,-60,1.13514578303537,-52,0
000000000000000000008005,4,1,111196,-59.5,1.15968947564155,52,0
000000000000000000008005,4,1,128140,-60,1.18423316824772,247,0
000000000000000000008005,4,1,137850,-60,1.12287393673229,-52,0
000000000000000000008005,4,1,150478,-60,1.16582539879309,26,0
000000000000000000008005,4,1,163984,-60,1.13514578303537,26,0
000000000000000000008005,4,1,180851,-60,1.14128170618692,104,0
000000000000000000008005,4,1,188095,-60,1.14741762933846,156,0
000000000000000000008005,4,1,206248,-60,1.14741762933846,78,0
000000000000000000008005,4,1,213250,-60,1.15968947564155,182,0
000000000000000000008005,4,1,232125,-60,1.15355355249,130,0
000000000000000000008005,4,1,239993,-59.5,1.07992247467149,-351,0
000000000000000000008005,4,1,257753,-59.5,1.24559239976314,455,0
000000000000000000008005,4,1,265231,-60.5,1.12900985988383,-26,0
000000000000000000008005,4,1,284373,-60,1.12900985988383,-130,0
000000000000000000008005,4,1,290265,-60,1.1965050145508,104,0
000000000000000000008005,4,1,309025,-60,1.19036909139926,221,0
000000000000000000008005,4,1,315811,-59.5,1.20264093770234,325,0
000000000000000000008005,4,1,335558,-60,1.13514578303537,-52,0
000000000000000000008005,4,1,346017,-59.5,1.13514578303537,52,0
000000000000000000008005,4,1,363225,-60,1.14741762933846,104,0
000000000000000000008005,4,1,369795,-60,1.15968947564155,0,0
000000000000000000008005,4,1,387042,-60,1.12900985988383,-104,0
000000000000000000008005,4,1,395133,-60,1.1106020904292,-104,0
000000000000000000008005,4,1,410904,-59.5,1.19036909139926,104,0
000000000000000000008005,4,1,419811,-59.5,1.12287393673229,0,0
000000000000000000008005,4,1,437727,-60,1.15968947564155,78,0
000000000000000000008005,4,1,447980,-60,1.15355355249,247,0
000000000000000000008005,4,1,461231,-59.5,1.1965050145508,273,0
000000000000000000008005,4,1,472896,-60,1.19036909139926,247,0
000000000000000000008005,4,1,486535,-59,1.1965050145508,299,0
000000000000000000008005,4,1,497310,-60,1.17809724509617,156,0
000000000000000000008005,4,1,511307,-60,1.12287393673229,-104,0
000000000000000000008005,4,1,522164,-60,1.12287393673229,-26,0
000000000000000000008005,4,1,541247,-60,1.12900985988383,-130,0
000000000000000000008005,4,1,550886,-59.5,1.21491278400543,325,0
000000000000000000008005,4,1,567799,-60,1.17809724509617,247,0
000000000000000000008005,4,1,573029,-60.5,1.14741762933846,156,0
000000000000000000008005,4,1,590198,-60,1.14128170618692,-130,0
000000000000000000008005,4,1,601819,-59.5,1.19036909139926,247,0
000000000000000000008005,4,1,615570,-60,1.20264093770234,130,0
000000000000000000008005,4,1,625022,-59.5,1.25172832291468,624,0
000000000000000000008005,4,1,643912,-60,1.12287393673229,-78,0
000000000000000000008005,4,1,652609,-60,1.1965050145508,221,0
000000000000000000008005,4,1,668039,-60,1.16582539879309,104,0
000000000000000000008005,4,1,676754,-60,1.17809724509617,377,0
000000000000000000008005,4,1,694616,-60,1.06765062836841,-182,0
000000000000000000008005,4,1,704274,-60,1.12287393673229,0,0
000000000000000000008005,4,1,718996,-59.5,1.14741762933846,26,0
000000000000000000008005,4,1,728733,-60.5,1.14741762933846,78,0
000000000000000000008005,4,1,745671,-60,1.1965050145508,299,0
000000000000000000008005,4,1,754922,-60,1.2394564766116,429,0
000000000000000000008005,4,1,771248,-60,1.12900985988383,26,0
000000000000000000008005,4,1,778233,-60,1.17809724509617,156,0
000000000000000000008005,4,1,798031,-60,1.17196132194463,247,0
000000000000000000008005,4,1,807001,-60,1.22104870715697,273,0
000000000000000000008005,4,1,822157,-60,1.21491278400543,455,0
000000000000000000008005,4,1,829820,-60,1.13514578303537,78,0
000000000000000000008005,4,1,846974,-60,1.12287393673229,52,0
000000000000000000008005,4,1,858028,-59.5,1.17809724509617,-26,0
000000000000000000008005,4,1,871874,-59.5,1.19036909139926,273,0
000000000000000000008005,4,1,883530,-60,1.22104870715697,481,0
000000000000000000008005,4,1,897197,-60,1.22104870715697,429,0
000000000000000000008005,4,1,905667,-59.5,1.19036909139926,52,0
000000000000000000008005,4,1,921838,-60,1.27013609236931,559,0
000000000000000000008005,4,1,931492,-60,1.14741762933846,0,0
000000000000000000008005,4,1,949274,-60.5,1.16582539879309,104,0
000000000000000000008005,4,1,958167,-60.5,1.25786424606623,677,0
000000000000000000008005,4,1,974682,-60,1.2394564766116,533,0
000000000000000000008005,4,1,984134,-60,1.22104870715697,429,0
000000000000000000008005,4,1,1001470,-60,1.2394564766116,481,0
000000000000000000008005,4,1,1009576,-60,1.09833024412612,-182,0
000000000000000000008005,4,1,1028044,-60,1.12900985988383,26,0
000000000000000000008005,4,1,1037493,-60,1.15355355249,104,0
000000000000000000008005,4,1,1051805,-60,1.15968947564155,325,0
000000000000000000008005,4,1,1059592,-60,1.22104870715697,247,0
000000000000000000008005,4,1,1076482,-60,1.20877686085389,377,0
000000000000000000008005,4,1,1084553,-60.5,1.24559239976314,559,0
000000000000000000008005,4,1,1104724,-60,1.03697101261069,-182,0
000000000000000000008005,4,1,1114350,-59.5,1.31922347758165,755,0
000000000000000000008005,4,1,1130456,-60,1.1965050145508,247,0
000000000000000000008005,4,1,1138259,-60,1.09833024412612,-247,0
000000000000000000008005,4,1,1156501,-60,1.14741762933846,0,0
000000000000000000008005,4,1,1166783,-59.5,1.15968947564155,104,0
000000000000000000008005,4,1,1182357,-61,1.18423316824772,130,0
000000000000000000008005,4,1,1191443,-60,1.15968947564155,130,0
000000000000000000008005,4,1,1204195,-60,1.12900985988383,130,0
000000000000000000008005,4,1,1218545,-60.5,1.16582539879309,221,0
000000000000000000008005,4,1,1231223,-60,1.13514578303537,52,0
000000000000000000008005,4,1,1243409,-60.5,1.26400016921777,703,0
000000000000000000008005,4,1,1258982,-60,1.15355355249,78,0
000000000000000000008005,4,1,1266986,-60,1.25172832291468,429,0
000000000000000000008005,4,1,1280923,-60,1.14741762933846,156,0
000000000000000000008005,4,1,1293619,-60.5,1.22104870715697,481,0
000000000000000000008005,4,1,1311714,-60,1.12287393673229,78,0
000000000000000000008005,4,1,1318136,-60,1.13514578303537,52,0
000000000000000000008005,4,1,1334988,-60,1.1106020904292,-156,0
000000000000000000008005,4,1,1342852,-60,1.08605839782303,-26,0
000000000000000000008005,4,1,1360502,-60,1.1965050145508,325,0
000000000000000000008005,4,1,1367517,-60,1.15355355249,351,0
000000000000000000008005,4,1,1386431,-60.5,1.20264093770234,325,0
000000000000000000008005,4,1,1395344,-60,1.1106020904292,-104,0
000000000000000000008005,4,1,1411965,-59.5,1.14741762933846,156,0
000000000000000000008005,4,1,1420393,-60,1.18423316824772,299,0
000000000000000000008005,4,1,1438461,-60.5,1.13514578303537,-78,0
000000000000000000008005,4,1,1446793,-60.5,1.22104870715697,429,0
000000000000000000008005,4,1,1463647,-60.5,1.14741762933846,247,0
000000000000000000008005,4,1,1473878,-60,1.22104870715697,429,0
000000000000000000008005,4,1,1488805,-60.5,1.2394564766116,624,0
000000000000000000008005,4,1,1496057,-60,1.24559239976314,351,0
000000000000000000008005,4,1,1514367,-60,1.21491278400543,273,0
000000000000000000008005,4,1,1524358,-60,1.20264093770234,221,0
000000000000000000008005,4,1,1540209,-60,1.1965050145508,455,0
000000000000000000008005,4,1,1550442,-60.5,1.20264093770234,325,0
000000000000000000008005,4,1,1565888,-60,1.16582539879309,247,0
000000000000000000008005,4,1,1575110,-60,1.15355355249,-26,0
000000000000000000008005,4,1,1591887,-60.5,1.12900985988383,26,0
000000000000000000008005,4,1,1601650,-60,1.1965050145508,247,0
000000000000000000008005,4,1,1618200,-59.5,1.17809724509617,182,0
000000000000000000008005,4,1,1623842,-60,1.15355355249,26,0
000000000000000000008005,4,1,1643700,-60,1.17809724509617,182,0
000000000000000000008005,4,1,1653264,-60,1.09833024412612,26,0
000000000000000000008005,4,1,1667963,-60,1.17196132194463,52,0
000000000000000000008005,4,1,1678757,-59.5,1.14741762933846,-78,0
000000000000000000008005,4,1,1695586,-60,1.22718463030851,507,0
000000000000000000008005,4,1,1705157,-60,1.11673801358075,0,0
