EPC,Antenna,Channel,TimeStamp/us,RSSI/dBm,Phase/rad,Doppler Shift/Hz,Velocity
000000000000000000008005,4,1,0,-59.5,1.66283517406803,182,0
000000000000000000008005,4,1,11368,-60,1.57693224994644,-221,0
000000000000000000008005,4,1,28386,-60,1.61374778885569,-104,0
000000000000000000008005,4,1,37473,-60,1.56466040364335,-299,0
000000000000000000008005,4,1,51479,-59.5,1.63829148146186,273,0
000000000000000000008005,4,1,62152,-60,1.57693224994644,-325,0
000000000000000000008005,4,1,78177,-60,1.65669925091649,325,0
000000000000000000008005,4,1,85261,-59.5,1.59534001940107,52,0
000000000000000000008005,4,1,104541,-60,1.64442740461341,325,0
000000000000000000008005,4,1,115189,-60,1.62601963515878,-52,0
000000000000000000008005,4,1,129442,-60,1.58306817309798,-26,0
000000000000000000008005,4,1,141712,-60,1.61374778885569,-78,0
000000000000000000008005,4,1,156650,-60,1.68124294352266,247,0
000000000000000000008005,4,1,163219,-60.5,1.66283517406803,78,0
000000000000000000008005,4,1,182992,-60,1.63215555831032,104,0
000000000000000000008005,4,1,191679,-60,1.63829148146186,104,0
000000000000000000008005,4,1,207795,-59.5,1.60761186570415,-78,0
000000000000000000008005,4,1,219507,-60,1.62601963515878,78,0
000000000000000000008005,4,1,233246,-60,1.60147594255261,26,0
000000000000000000008005,4,1,245786,-60,1.63829148146186,156,0
000000000000000000008005,4,1,257167,-60,1.63215555831032,104,0
000000000000000000008005,4,1,267497,-60.5,1.63215555831032,78,0
000000000000000000008005,4,1,287391,-60,1.69351478982575,455,0
000000000000000000008005,4,1,295270,-59.5,1.60761186570415,52,0
000000000000000000008005,4,1,313108,-60,1.60147594255261,-169,0
000000000000000000008005,4,1,322553,-60,1.62601963515878,26,0
000000000000000000008005,4,1,336838,-60,1.65056332776495,182,0
000000000000000000008005,4,1,345513,-59.5,1.60147594255261,0,0
000000000000000000008005,4,1,364685,-60,1.62601963515878,130,0
000000000000000000008005,4,1,372654,-60,1.58920409624952,-273,0
000000000000000000008005,4,1,390522,-60,1.66283517406803,78,0
000000000000000000008005,4,1,396419,-60,1.64442740461341,273,0
000000000000000000008005,4,1,415516,-60.5,1.61374778885569,104,0
000000000000000000008005,4,1,426421,-60,1.66897109721958,156,0
000000000000000000008005,4,1,438827,-60.5,1.54625263418873,-403,0
000000000000000000008005,4,1,451534,-60.5,1.60147594255261,-182,0
000000000000000000008005,4,1,466759,-60.5,1.52170894158256,-351,0
000000000000000000008005,4,1,477323,-60.5,1.61374778885569,78,0
000000000000000000008005,4,1,494562,-60,1.65056332776495,130,0
000000000000000000008005,4,1,504420,-60.5,1.61988371200724,130,0
000000000000000000008005,4,1,521241,-60,1.58920409624952,-78,0
000000000000000000008005,4,1,531444,-60,1.65056332776495,26,0
000000000000000000008005,4,1,547648,-60,1.55238855734027,-273,0
000000000000000000008005,4,1,551952,-60.5,1.59534001940107,78,0
000000000000000000008005,4,1,573137,-60,1.60761186570415,26,0
000000000000000000008005,4,1,579330,-60,1.54011671103718,-78,0
000000000000000000008005,4,1,597262,-60,1.61374778885569,-156,0
000000000000000000008005,4,1,607303,-60,1.65056332776495,182,0
000000000000000000008005,4,1,619807,-60,1.67510702037112,481,0
000000000000000000008005,4,1,631435,-59.5,1.65056332776495,26,0
000000000000000000008005,4,1,649267,-60,1.65056332776495,273,0
000000000000000000008005,4,1,655751,-60.5,1.59534001940107,-52,0
000000000000000000008005,4,1,671481,-60.5,1.5278448647341,-273,0
000000000000000000008005,4,1,682895,-60.5,1.66283517406803,130,0
000000000000000000008005,4,1,699284,-60,1.60761186570415,-104,0
000000000000000000008005,4,1,708621,-60.5,1.60147594255261,0,0
000000000000000000008005,4,1,722489,-60,1.62601963515878,130,0
000000000000000000008005,4,1,735070,-60,1.64442740461341,273,0
000000000000000000008005,4,1,750948,-60,1.62601963515878,104,0
000000000000000000008005,4,1,761682,-60.5,1.60147594255261,-26,0
000000000000000000008005,4,1,777130,-60,1.54011671103718,-377,0
000000000000000000008005,4,1,784869,-59.5,1.57693224994644,-52,0
000000000000000000008005,4,1,799927,-60.5,1.57693224994644,-325,0
000000000000000000008005,4,1,809236,-60,1.66283517406803,403,0
000000000000000000008005,4,1,828911,-60.5,1.58920409624952,78,0
000000000000000000008005,4,1,837752,-60,1.64442740461341,325,0
000000000000000000008005,4,1,851915,-60.5,1.57693224994644,-52,0
000000000000000000008005,4,1,860587,-60.5,1.57693224994644,-130,0
000000000000000000008005,4,1,878479,-60,1.5278448647341,-273,0
000000000000000000008005,4,1,888197,-60.5,1.61988371200724,182,0
000000000000000000008005,4,1,901751,-60,1.60147594255261,26,0
000000000000000000008005,4,1,913557,-60,1.54625263418873,-273,0
000000000000000000008005,4,1,927967,-60,1.61374778885569,-52,0
000000000000000000008005,4,1,939778,-60,1.71805848243192,585,0
000000000000000000008005,4,1,955781,-60,1.60761186570415,78,0
000000000000000000008005,4,1,968369,-60,1.59534001940107,-26,0
000000000000000000008005,4,1,981783,-60,1.54011671103718,-351,0
000000000000000000008005,4,1,992403,-59.5,1.54011671103718,-351,0
000000000000000000008005,4,1,1009405,-60,1.61988371200724,52,0
000000000000000000008005,4,1,1018878,-60.5,1.69965071297729,559,0
000000000000000000008005,4,1,1031842,-59.5,1.62601963515878,273,0
000000000000000000008005,4,1,1043553,-60,1.60761186570415,52,0
000000000000000000008005,4,1,1062013,-60,1.69965071297729,351,0
000000000000000000008005,4,1,1066371,-60,1.60147594255261,0,0
000000000000000000008005,4,1,1083319,-60.5,1.64442740461341,221,0
000000000000000000008005,4,1,1094277,-60,1.59534001940107,-52,0
000000000000000000008005,4,1,1111062,-60,1.58920409624952,0,0
000000000000000000008005,4,1,1118497,-60,1.58306817309798,-104,0
000000000000000000008005,4,1,1136917,-60,1.60147594255261,-104,0
000000000000000000008005,4,1,1144267,-60,1.63215555831032,156,0
000000000000000000008005,4,1,1163556,-60,1.54625263418873,-182,0
000000000000000000008005,4,1,1170090,-60,1.54011671103718,-377,0
000000000000000000008005,4,1,1186637,-60,1.57693224994644,-247,0
000000000000000000008005,4,1,1197415,-60,1.59534001940107,26,0
000000000000000000008005,4,1,1213686,-60,1.58920409624952,52,0
000000000000000000008005,4,1,1219444,-60.5,1.5707963267949,-182,0
000000000000000000008005,4,1,1239523,-60,1.67510702037112,377,0
000000000000000000008005,4,1,1246689,-60,1.53398078788564,-130,0
000000000000000000008005,4,1,1261443,-60.5,1.65056332776495,325,0
000000000000000000008005,4,1,1273186,-60,1.61988371200724,78,0
000000000000000000008005,4,1,1288421,-60,1.5707963267949,-182,0
000000000000000000008005,4,1,1298173,-60,1.60761186570415,52,0
000000000000000000008005,4,1,1313422,-60.5,1.63215555831032,-26,0
000000000000000000008005,4,1,1322383,-60,1.63215555831032,182,0
000000000000000000008005,4,1,1340046,-60.5,1.60761186570415,156,0
000000000000000000008005,4,1,1349379,-60,1.60147594255261,104,0
000000000000000000008005,4,1,1370288,-60,1.58920409624952,-26,0
000000000000000000008005,4,1,1378978,-60,1.60761186570415,130,0
000000000000000000008005,4,1,1395130,-60,1.61988371200724,26,0
000000000000000000008005,4,1,1405945,-59.5,1.5707963267949,-182,0
000000000000000000008005,4,1,1420303,-60,1.58306817309798,0,0
000000000000000000008005,4,1,1431480,-60,1.46648563321867,-481,0
000000000000000000008005,4,1,1446945,-60.5,1.54011671103718,-104,0
000000000000000000008005,4,1,1456628,-60,1.61988371200724,104,0
000000000000000000008005,4,1,1470925,-59.5,1.58920409624952,-156,0
000000000000000000008005,4,1,1481686,-60,1.61988371200724,182,0
000000000000000000008005,4,1,1498814,-60.5,1.64442740461341,182,0
000000000000000000008005,4,1,1509548,-60,1.65669925091649,377,0
000000000000000000008005,4,1,1523098,-60.5,1.61374778885569,-104,0
000000000000000000008005,4,1,1530422,-60,1.57693224994644,26,0
000000000000000000008005,4,1,1550300,-60,1.66283517406803,351,0
000000000000000000008005,4,1,1559462,-60.5,1.55238855734027,-156,0
000000000000000000008005,4,1,1575838,-60,1.56466040364335,78,0
000000000000000000008005,4,1,1584563,-60.5,1.64442740461341,156,0
000000000000000000008005,4,1,1597923,-60.5,1.61988371200724,299,0
000000000000000000008005,4,1,1613474,-60,1.58920409624952,-52,0
000000000000000000008005,4,1,1627399,-60.5,1.58920409624952,-78,0
000000000000000000008005,4,1,1638631,-60.5,1.60147594255261,78,0
000000000000000000008005,4,1,1653657,-60.5,1.58306817309798,104,0
000000000000000000008005,4,1,1664742,-60,1.55238855734027,-156,0
000000000000000000008005,4,1,1681518,-60,1.57693224994644,-26,0
000000000000000000008005,4,1,1690573,-60,1.57693224994644,26,0
000000000000000000008005,4,1,1706922,-60.5,1.62601963515878,104,0
000000000000000000008005,4,1,1714814,-60.5,1.64442740461341,221,0
000000000000000000008005,4,1,1730978,-60,1.56466040364335,-221,0
000000000000000000008005,4,1,1740226,-60.5,1.5707963267949,-130,0
000000000000000000008005,4,1,1758740,-60,1.55238855734027,-182,0
000000000000000000008005,4,1,1764246,-60.5,1.58306817309798,-26,0
000000000000000000008005,4,1,1780269,-60.5,1.66283517406803,325,0
000000000000000000008005,4,1,1793147,-59.5,1.56466040364335,-182,0
000000000000000000008005,4,1,1808498,-60.5,1.65056332776495,299,0
000000000000000000008005,4,1,1820236,-60,1.60761186570415,52,0
000000000000000000008005,4,1,1835789,-60,1.66283517406803,325,0
000000000000000000008005,4,1,1844767,-60,1.61374778885569,78,0
000000000000000000008005,4,1,1860787,-60,1.59534001940107,78,0
000000000000000000008005,4,1,1868131,-61,1.66283517406803,78,0
000000000000000000008005,4,1,1885700,-60.5,1.58306817309798,-26,0
000000000000000000008005,4,1,1901636,-60.5,1.55238855734027,-182,0
