EPC,Antenna,Channel,TimeStamp/us,RSSI/dBm,Phase/rad,Doppler Shift/Hz,Velocity
000000000000000000001005,1,1,0,-51.5,1.61374778885569,-299,0
000000000000000000001006,1,1,4008,-45,0.552233083638831,78,0
000000000000000000001006,1,1,12447,-45,0.539961237335746,104,0
000000000000000000001005,1,1,13796,-51.5,1.67510702037112,-78,0
000000000000000000001005,1,1,35909,-51,1.69351478982575,-104,0
000000000000000000001006,1,1,36975,-45.5,0.466330159517235,-247,0
000000000000000000001006,1,1,47217,-45.5,0.582912699396544,325,0
000000000000000000001005,1,1,48724,-51,1.68124294352266,-156,0
000000000000000000001006,1,1,67248,-45.5,0.527689391032661,182,0
000000000000000000001005,1,1,69679,-51,1.69965071297729,26,0
000000000000000000001006,1,1,77749,-45.5,0.546097160487288,182,0
000000000000000000001005,1,1,80250,-51,1.66897109721958,-156,0
000000000000000000001006,1,1,101847,-45.5,0.564504929941916,273,0
000000000000000000001005,1,1,103595,-51,1.69965071297729,104,0
000000000000000000001006,1,1,112515,-45,0.533825314184203,104,0
000000000000000000001005,1,1,116074,-51,1.68737886667421,-104,0
000000000000000000001005,1,1,130864,-51,1.68737886667421,52,0
000000000000000000001006,1,1,133040,-45,0.533825314184203,156,0
000000000000000000001005,1,1,143082,-51,1.72419440558346,182,0
000000000000000000001006,1,1,145544,-45.5,0.521553467881118,78,0
000000000000000000001006,1,1,163864,-45.5,0.50314569842649,78,0
000000000000000000001005,1,1,165870,-51,1.66897109721958,-78,0
000000000000000000001005,1,1,173675,-51,1.71192255928038,104,0
000000000000000000001006,1,1,176748,-45.5,0.595184545699629,403,0
000000000000000000001005,1,1,196377,-50.5,1.69965071297729,78,0
000000000000000000001006,1,1,197498,-45.5,0.570640853093458,299,0
000000000000000000001005,1,1,207987,-51,1.62601963515878,-221,0
000000000000000000001006,1,1,210545,-45.5,0.515417544729575,78,0
000000000000000000001006,1,1,230160,-45.5,0.546097160487288,78,0
000000000000000000001005,1,1,234837,-51,1.63215555831032,26,0
000000000000000000001006,1,1,244051,-45.5,0.570640853093458,104,0
000000000000000000001005,1,1,245145,-51,1.55852448049181,-299,0
000000000000000000001005,1,1,263094,-51,1.70578663612883,325,0
000000000000000000001006,1,1,264826,-45.5,0.607456392002714,78,0
000000000000000000001006,1,1,273541,-45.5,0.638136007760426,130,0
000000000000000000001005,1,1,277695,-51.5,1.59534001940107,78,0
000000000000000000001005,1,1,293721,-51,1.5278448647341,-130,0
000000000000000000001006,1,1,298746,-45.5,0.632000084608884,78,0
000000000000000000001006,1,1,308064,-45.5,0.662679700366597,273,0
000000000000000000001005,1,1,309301,-51.5,1.5278448647341,-156,0
000000000000000000001006,1,1,327675,-45,0.625864161457342,52,0
000000000000000000001005,1,1,329893,-52,1.56466040364335,156,0
000000000000000000001006,1,1,340328,-45,0.607456392002714,104,0
000000000000000000001005,1,1,342678,-52,1.53398078788564,-104,0
000000000000000000001005,1,1,359937,-52,1.60147594255261,182,0
000000000000000000001006,1,1,362284,-45,0.582912699396544,104,0
