EPC,Antenna,Channel,TimeStamp/us,RSSI/dBm,Phase/rad,Doppler Shift/Hz,Velocity
9.010000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-4.200000000000000000e+01,2.896155727528090029e+00,1.300000000000000000e+02,0.000000000000000000e+00
9.020000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.646000000000000000e+03,-4.150000000000000000e+01,6.749515466696820454e-02,1.690000000000000000e+02,0.000000000000000000e+00
9.020000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.381000000000000000e+04,-4.150000000000000000e+01,2.454369260617019974e-02,-2.600000000000000000e+01,0.000000000000000000e+00
9.010000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.503900000000000000e+04,-4.200000000000000000e+01,2.908427573831180002e+00,2.210000000000000000e+02,0.000000000000000000e+00
9.010000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.143600000000000000e+04,-4.200000000000000000e+01,2.914563496982720103e+00,1.300000000000000000e+02,0.000000000000000000e+00
9.020000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.375100000000000000e+04,-4.150000000000000000e+01,4.295146206079800133e-02,5.200000000000000000e+01,0.000000000000000000e+00
9.010000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,4.164700000000000000e+04,-4.250000000000000000e+01,2.920699420134260205e+00,7.800000000000000000e+01,0.000000000000000000e+00
9.020000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,4.363100000000000000e+04,-4.150000000000000000e+01,3.681553890925570033e-02,-2.600000000000000000e+01,0.000000000000000000e+00
9.010000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,6.122900000000000000e+04,-4.250000000000000000e+01,2.951379035891970037e+00,1.560000000000000000e+02,0.000000000000000000e+00
9.020000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,6.432700000000000000e+04,-4.150000000000000000e+01,4.295146206079800133e-02,-2.600000000000000000e+01,0.000000000000000000e+00
