EPC,Antenna,Channel,TimeStamp/us,RSSI/dBm,Phase/rad,Doppler Shift/Hz,Velocity
000000000000000000009026,1,1,0,-57.5,0.760854470791278,-52,0
000000000000000000009026,1,1,11634,-57,0.601320468851172,78,0
000000000000000000009026,1,1,29345,-57,0.300660234425585,-52,0
000000000000000000009026,1,1,35659,-57,0.245436926061703,169,0
000000000000000000009026,1,1,51386,-57.5,0.0306796157577125,-26,0
000000000000000000009026,1,1,63068,-57.5,6.12365130523948,-52,0
000000000000000000009027,1,1,5944989,-55.5,1.83464102231123,195,0
000000000000000000009027,1,1,5955533,-55.5,1.71192255928038,117,0
000000000000000000009027,1,1,5972400,-54.5,1.54011671103718,195,0
000000000000000000009027,1,1,5977753,-54,1.46034971006713,416,0
000000000000000000009027,1,1,5997199,-53.5,1.14741762933846,-117,0
000000000000000000009027,1,1,6003964,-53,1.13514578303537,117,0
000000000000000000009027,1,1,6020221,-53.5,0.944932165337555,117,0
000000000000000000009027,1,1,6032659,-53.5,0.791534086548991,26,0
000000000000000000009027,1,1,6046734,-52.5,0.656543777215054,117,0
000000000000000000009027,1,1,6056657,-52.5,0.558369006790373,78,0
000000000000000000009027,1,1,6072498,-52,0.368155389092554,26,0
000000000000000000009027,1,1,6081712,-52,0.263844695516331,117,0
000000000000000000009027,1,1,6097029,-52.5,0.0552233083638827,-78,0
000000000000000000009027,1,1,6109019,-53,6.2279619988157,169,0
000000000000000000009027,1,1,6124844,-52,6.0254765348148,0,0
000000000000000000009027,1,1,6133962,-52.5,5.94570953384475,117,0
000000000000000000009027,1,1,6149300,-52.5,5.76776776245001,195,0
000000000000000000009027,1,1,6160439,-53,5.60209783735836,-26,0
000000000000000000009027,1,1,6176891,-53,5.46097160487288,195,0
000000000000000000009027,1,1,6184122,-52.5,5.36893275759974,-52,0
000000000000000000009006,1,1,6201001,-56,4.80442782765783,130,0
000000000000000000009027,1,1,6204095,-52.5,5.16644729359884,26,0
000000000000000000009027,1,1,6208238,-52.5,5.14803952414421,78,0
000000000000000000009006,1,1,6213578,-55,4.62648605626309,299,0
000000000000000000009006,1,1,6225872,-53.5,4.36877728389831,-26,0
000000000000000000009027,1,1,6231433,-52.5,4.92101036753714,0,0
000000000000000000009006,1,1,6239582,-53.5,4.17856366620049,26,0
000000000000000000009027,1,1,6242121,-52.5,4.80442782765783,-26,0
000000000000000000009027,1,1,6254568,-52.5,4.69398121093006,-52,0
000000000000000000009026,1,1,6256638,-57,6.04388430426943,-26,0
000000000000000000009006,1,1,6257762,-53,3.92699081698724,-52,0
000000000000000000009026,1,1,6267623,-56.5,5.98866099590554,117,0
000000000000000000009006,1,1,6272902,-52.5,3.76132089189559,26,0
000000000000000000009027,1,1,6273977,-52,4.46081613117144,-78,0
000000000000000000009027,1,1,6287345,-52,4.31355397553442,78,0
000000000000000000009026,1,1,6289592,-56.5,5.80458330135927,221,0
000000000000000000009006,1,1,6291597,-52,3.56497135104623,104,0
000000000000000000009006,1,1,6297414,-52,3.53429173528852,299,0
000000000000000000009027,1,1,6301148,-52.5,4.1233403578366,52,0
000000000000000000009026,1,1,6302835,-56.5,5.70027260778304,117,0
000000000000000000009027,1,1,6316242,-52.5,3.89017527807799,-52,0
000000000000000000009026,1,1,6317703,-57,5.50392306693368,-221,0
000000000000000000009006,1,1,6320136,-52,3.20908780825676,78,0
000000000000000000009006,1,1,6326073,-51.5,3.14772857674134,156,0
000000000000000000009027,1,1,6330984,-52,3.68155389092554,26,0
000000000000000000009026,1,1,6332601,-56.5,5.3627968344482,-117,0
