EPC,Antenna,Channel,TimeStamp/us,RSSI/dBm,Phase/rad,Doppler Shift/Hz,Velocity
000000000000000000009027,1,1,0,-53.5,5.66959299202533,-117,0
000000000000000000009026,1,1,2206,-48.5,1.87759248437203,-26,0
000000000000000000009006,1,1,5051,-58,1.8162332528566,26,0
000000000000000000009026,1,1,9967,-48.5,1.90827210012974,-26,0
000000000000000000009027,1,1,13974,-54,5.6941366846315,52,0
000000000000000000009006,1,1,15707,-58,1.83464102231123,130,0
000000000000000000009026,1,1,29735,-48.5,1.89600025382665,-52,0
000000000000000000009006,1,1,33278,-58,1.86532063806894,273,0
000000000000000000009027,1,1,34350,-54,5.68800076147996,-78,0
000000000000000000009006,1,1,42865,-58,1.79782548340197,-156,0
000000000000000000009027,1,1,44093,-53.5,5.68800076147996,26,0
000000000000000000009026,1,1,45454,-48.5,1.92667986958437,117,0
000000000000000000009006,1,1,58951,-58,1.82850509915968,52,0
000000000000000000009026,1,1,62859,-48.5,1.95735948534208,273,0
000000000000000000009027,1,1,64545,-54,5.67572891517687,-78,0
000000000000000000009027,1,1,70166,-53.5,5.6941366846315,78,0
000000000000000000009006,1,1,74488,-58.5,1.83464102231123,182,0
000000000000000000009026,1,1,75593,-48.5,1.9021361769782,26,0
000000000000000000009006,1,1,89944,-57.5,1.85304879176585,247,0
000000000000000000009027,1,1,94518,-54,5.6941366846315,-52,0
000000000000000000009026,1,1,95904,-48.5,1.92054394643282,52,0
000000000000000000009026,1,1,102029,-48.5,1.9021361769782,26,0
000000000000000000009006,1,1,105344,-58,1.8591847149174,325,0
000000000000000000009027,1,1,106817,-53.5,5.68800076147996,-52,0
000000000000000000009006,1,1,121565,-58,1.76100994449272,-130,0
000000000000000000009026,1,1,123721,-48.5,1.9021361769782,26,0
000000000000000000009027,1,1,124939,-54,5.70027260778304,-78,0
000000000000000000009026,1,1,130548,-48.5,1.93895171588745,195,0
000000000000000000009006,1,1,133218,-58,1.83464102231123,130,0
000000000000000000009027,1,1,134563,-54,5.71868037723767,117,0
000000000000000000009006,1,1,150957,-58,1.76100994449272,-130,0
000000000000000000009027,1,1,153638,-54,5.70027260778304,117,0
000000000000000000009026,1,1,155340,-48.5,1.9021361769782,26,0
000000000000000000009006,1,1,161874,-58,1.8162332528566,156,0
000000000000000000009026,1,1,164708,-48.5,1.85304879176585,-169,0
000000000000000000009027,1,1,167249,-54,5.70027260778304,78,0
000000000000000000009027,1,1,183310,-54,5.66959299202533,-52,0
000000000000000000009026,1,1,184386,-48.5,1.90827210012974,52,0
000000000000000000009006,1,1,185865,-58,1.82236917600814,299,0
000000000000000000009006,1,1,191064,-58,1.79782548340197,-26,0
000000000000000000009027,1,1,193818,-53.5,5.68186483832841,-78,0
000000000000000000009026,1,1,195391,-48.5,1.90827210012974,26,0
000000000000000000009027,1,1,209392,-54,5.71868037723767,143,0
000000000000000000009006,1,1,212565,-58,1.77941771394734,-52,0
000000000000000000009026,1,1,215350,-48.5,1.91440802328128,143,0
000000000000000000009006,1,1,221671,-58,1.84077694546277,221,0
000000000000000000009027,1,1,225303,-53.5,5.66959299202533,-26,0
000000000000000000009026,1,1,226364,-48.5,1.90827210012974,-52,0
000000000000000000009006,1,1,239006,-58,1.82236917600814,221,0
000000000000000000009027,1,1,243624,-54,5.66345706887379,-143,0
000000000000000000009026,1,1,245240,-48.5,1.92054394643282,52,0
000000000000000000009006,1,1,252400,-58,1.77941771394734,0,0
000000000000000000009027,1,1,254330,-53.5,5.66345706887379,-169,0
000000000000000000009026,1,1,256530,-48.5,1.9021361769782,-78,0
000000000000000000009027,1,1,268634,-54,5.6941366846315,26,0
000000000000000000009006,1,1,270183,-58.5,1.76100994449272,-52,0
000000000000000000009026,1,1,273723,-48.5,1.91440802328128,26,0
000000000000000000009026,1,1,283586,-48.5,1.93281579273591,169,0
000000000000000000009006,1,1,284693,-58,1.7732817907958,-130,0
000000000000000000009027,1,1,285796,-54,5.72481630038921,117,0
000000000000000000009027,1,1,299570,-54,5.68186483832841,0,0
000000000000000000009006,1,1,301435,-58,1.86532063806894,299,0
000000000000000000009026,1,1,305854,-48.5,1.89600025382665,-52,0
000000000000000000009027,1,1,314631,-54,5.6941366846315,26,0
000000000000000000009006,1,1,316080,-58,1.80396140655351,26,0
000000000000000000009026,1,1,317169,-48.5,1.9021361769782,0,0
000000000000000000009026,1,1,330545,-48.5,1.92054394643282,117,0
000000000000000000009006,1,1,334488,-57.5,1.76100994449272,-221,0
000000000000000000009027,1,1,335844,-53.5,5.71254445408613,143,0
000000000000000000009006,1,1,341428,-58,1.84691286861431,299,0
000000000000000000009026,1,1,343860,-48.5,1.91440802328128,52,0
000000000000000000009027,1,1,346043,-54,5.6941366846315,78,0
000000000000000000009027,1,1,359555,-54,5.65732114572224,-247,0
000000000000000000009006,1,1,361171,-58,1.79782548340197,52,0
000000000000000000009026,1,1,365809,-48.5,1.91440802328128,52,0
000000000000000000009026,1,1,371015,-49,1.88986433067511,-26,0
000000000000000000009006,1,1,373159,-58,1.78555363709889,-104,0
000000000000000000009027,1,1,376422,-54,5.68800076147996,26,0
000000000000000000009006,1,1,389729,-58,1.82236917600814,104,0
000000000000000000009027,1,1,392911,-54,5.74322406984384,273,0
000000000000000000009026,1,1,393967,-48.5,1.90827210012974,0,0
000000000000000000009006,1,1,403385,-58.5,1.82236917600814,182,0
000000000000000000009027,1,1,407355,-54,5.71254445408613,221,0
000000000000000000009026,1,1,408445,-48.5,1.88986433067511,-52,0
000000000000000000009027,1,1,421365,-54,5.65732114572224,-221,0
000000000000000000009006,1,1,423537,-58,1.8162332528566,78,0
000000000000000000009026,1,1,425748,-49,1.92054394643282,0,0
000000000000000000009006,1,1,434455,-58,1.85304879176585,130,0
000000000000000000009026,1,1,436411,-48.5,1.9021361769782,0,0
000000000000000000009027,1,1,437458,-54,5.66345706887379,-26,0
000000000000000000009006,1,1,451254,-58,1.81009732970506,-156,0
000000000000000000009027,1,1,453636,-53.5,5.6511852225707,-52,0
000000000000000000009026,1,1,455311,-48.5,1.93895171588745,78,0
000000000000000000009006,1,1,462544,-58,1.77941771394734,-104,0
000000000000000000009026,1,1,463904,-48.5,1.90827210012974,-52,0
000000000000000000009027,1,1,468286,-54,5.67572891517687,-78,0
000000000000000000009027,1,1,480118,-54,5.68186483832841,-26,0
000000000000000000009026,1,1,483643,-48.5,1.9021361769782,-78,0
000000000000000000009006,1,1,485874,-58,1.81009732970506,130,0
000000000000000000009026,1,1,492856,-48.5,1.92054394643282,26,0
000000000000000000009006,1,1,495088,-58,1.8591847149174,156,0
000000000000000000009027,1,1,497499,-54,5.65732114572224,-117,0
000000000000000000009006,1,1,510499,-58,1.84077694546277,156,0
000000000000000000009026,1,1,512371,-48.5,1.91440802328128,-52,0
000000000000000000009027,1,1,514526,-54,5.68186483832841,-52,0
000000000000000000009026,1,1,523650,-48.5,1.92054394643282,26,0
000000000000000000009006,1,1,525895,-58,1.80396140655351,-26,0
000000000000000000009027,1,1,527240,-54,5.67572891517687,-78,0
000000000000000000009006,1,1,540407,-58.5,1.85304879176585,130,0
000000000000000000009027,1,1,541908,-54,5.74322406984384,195,0
000000000000000000009026,1,1,544564,-48.5,1.92667986958437,-52,0
000000000000000000009006,1,1,550781,-58,1.8162332528566,-26,0
000000000000000000009026,1,1,554503,-48.5,1.91440802328128,26,0
000000000000000000009027,1,1,555934,-54,5.68186483832841,-78,0
000000000000000000009027,1,1,569934,-54,5.70027260778304,52,0
000000000000000000009006,1,1,572575,-58,1.82236917600814,182,0
000000000000000000009026,1,1,575018,-48.5,1.95122356219054,195,0
000000000000000000009027,1,1,580635,-54,5.71254445408613,117,0
000000000000000000009006,1,1,583309,-58,1.79168956025043,-130,0
000000000000000000009026,1,1,584799,-49,1.95122356219054,117,0
000000000000000000009026,1,1,600122,-48.5,1.90827210012974,-78,0
000000000000000000009027,1,1,601269,-54,5.67572891517687,-52,0
000000000000000000009006,1,1,603956,-58,1.82236917600814,78,0
000000000000000000009026,1,1,614486,-48.5,1.91440802328128,-26,0
000000000000000000009006,1,1,615551,-58,1.8591847149174,247,0
000000000000000000009027,1,1,616881,-54,5.66959299202533,-52,0
000000000000000000009006,1,1,631609,-58,1.82850509915968,182,0
000000000000000000009027,1,1,634077,-54,5.6941366846315,-52,0
000000000000000000009026,1,1,635520,-48.5,1.93281579273591,0,0
000000000000000000009006,1,1,643281,-58,1.8162332528566,104,0
000000000000000000009027,1,1,644397,-54,5.70640853093458,-52,0
000000000000000000009026,1,1,649231,-48.5,1.93281579273591,-52,0
000000000000000000009006,1,1,661860,-58.5,1.81009732970506,26,0
000000000000000000009026,1,1,663321,-48.5,1.96349540849362,52,0
000000000000000000009027,1,1,665774,-54,5.71254445408613,-26,0
000000000000000000009006,1,1,674948,-58,1.8591847149174,247,0
000000000000000000009027,1,1,677116,-53.5,5.7370881466923,78,0
000000000000000000009026,1,1,678234,-49,1.95735948534208,117,0
000000000000000000009006,1,1,692065,-58,1.82236917600814,0,0
000000000000000000009026,1,1,694068,-49,1.96349540849362,52,0
000000000000000000009027,1,1,695625,-53.5,5.70027260778304,-52,0
000000000000000000009006,1,1,702513,-58,1.80396140655351,0,0
000000000000000000009027,1,1,706816,-54,5.71868037723767,143,0
000000000000000000009026,1,1,708515,-49,1.95735948534208,52,0
000000000000000000009027,1,1,721147,-54,5.73095222354076,117,0
000000000000000000009026,1,1,724427,-48.5,1.94508763903899,-26,0
000000000000000000009006,1,1,726869,-58,1.83464102231123,0,0
000000000000000000009006,1,1,732251,-58,1.83464102231123,0,0
000000000000000000009026,1,1,734482,-49,1.96349540849362,78,0
000000000000000000009027,1,1,737406,-54,5.70640853093458,-52,0
000000000000000000009006,1,1,751259,-58,1.86532063806894,156,0
000000000000000000009027,1,1,754579,-53.5,5.6941366846315,-52,0
000000000000000000009026,1,1,756067,-48.5,1.94508763903899,26,0
000000000000000000009026,1,1,762874,-48.5,1.93281579273591,-52,0
000000000000000000009027,1,1,765056,-54,5.68186483832841,-78,0
000000000000000000009006,1,1,766278,-58,1.84077694546277,221,0
000000000000000000009026,1,1,779771,-48.5,1.93281579273591,-52,0
000000000000000000009027,1,1,783175,-53.5,5.70640853093458,78,0
000000000000000000009006,1,1,786305,-58,1.80396140655351,78,0
000000000000000000009026,1,1,791530,-48.5,1.95122356219054,52,0
000000000000000000009027,1,1,794548,-54,5.68800076147996,-26,0
000000000000000000009006,1,1,796809,-58,1.8591847149174,156,0
000000000000000000009026,1,1,809169,-49,1.95735948534208,26,0
000000000000000000009027,1,1,810728,-53.5,5.66959299202533,-78,0
000000000000000000009006,1,1,812988,-58,1.8591847149174,52,0
000000000000000000009006,1,1,823979,-58,1.82850509915968,26,0
000000000000000000009026,1,1,825056,-48.5,1.95122356219054,117,0
000000000000000000009027,1,1,826840,-54,5.70640853093458,117,0
000000000000000000009027,1,1,844171,-54,5.68186483832841,-117,0
000000000000000000009026,1,1,845259,-48.5,1.95122356219054,-26,0
000000000000000000009006,1,1,846755,-58,1.82850509915968,221,0
000000000000000000009026,1,1,853057,-48.5,1.95735948534208,26,0
000000000000000000009027,1,1,854644,-54,5.68186483832841,52,0
000000000000000000009006,1,1,856024,-58,1.84077694546277,221,0
000000000000000000009006,1,1,871483,-58,1.83464102231123,221,0
000000000000000000009026,1,1,872782,-48.5,1.93895171588745,0,0
000000000000000000009027,1,1,876601,-54,5.67572891517687,-52,0
000000000000000000009006,1,1,890916,-58,1.76714586764426,-221,0
000000000000000000009026,1,1,892617,-48.5,1.9021361769782,-117,0
000000000000000000009027,1,1,893991,-54,5.68186483832841,78,0
000000000000000000009006,1,1,911733,-58,1.81009732970506,52,0
