EPC,Antenna,Channel,TimeStamp/us,RSSI/dBm,Phase/rad,Doppler Shift/Hz,Velocity
000000000000000000008002,1,1,0,-55,0.66881562351814,351,0
000000000000000000008001,1,1,1719,-52.5,4.8719229823248,182,0
000000000000000000008001,1,1,10355,-52.5,4.85351521287017,-26,0
000000000000000000008002,1,1,11490,-55,0.613592315154256,-26,0
000000000000000000008001,1,1,25701,-52.5,4.84737928971863,26,0
000000000000000000008002,1,1,28870,-55,0.625864161457342,52,0
000000000000000000008001,1,1,36045,-52.5,4.86578705917325,26,0
000000000000000000008002,1,1,41580,-55.5,0.638136007760426,78,0
000000000000000000008001,1,1,55756,-52,4.85351521287017,26,0
000000000000000000008002,1,1,57290,-55.5,0.625864161457342,104,0
000000000000000000008002,1,1,67076,-55.5,0.625864161457342,26,0
000000000000000000008001,1,1,69237,-52,4.828971520264,-130,0
000000000000000000008002,1,1,83379,-55.5,0.595184545699629,-78,0
000000000000000000008001,1,1,87050,-52.5,4.79829190450629,-221,0
000000000000000000008002,1,1,91748,-55.5,0.632000084608884,78,0
000000000000000000008001,1,1,95741,-52,4.81669967396091,-156,0
000000000000000000008002,1,1,112090,-55,0.638136007760426,0,0
000000000000000000008001,1,1,114396,-52.5,4.84124336656708,-52,0
000000000000000000008001,1,1,122397,-52.5,4.81669967396091,-156,0
000000000000000000008002,1,1,123689,-55.5,0.632000084608884,-78,0
000000000000000000008001,1,1,136399,-52.5,4.84737928971863,-78,0
000000000000000000008002,1,1,138844,-55.5,0.662679700366597,325,0
000000000000000000008002,1,1,149481,-55.5,0.656543777215054,273,0
000000000000000000008001,1,1,151026,-52.5,4.82283559711246,-130,0
000000000000000000008002,1,1,167244,-55,0.619728238305799,-26,0
000000000000000000008001,1,1,170016,-52,4.85351521287017,-52,0
000000000000000000008001,1,1,179970,-52.5,4.88419482862788,104,0
000000000000000000008002,1,1,181473,-55.5,0.650407854063512,0,0
000000000000000000008002,1,1,192733,-55.5,0.632000084608884,0,0
000000000000000000008001,1,1,197003,-52.5,4.82283559711246,-130,0
000000000000000000008001,1,1,204482,-52,4.828971520264,-78,0
000000000000000000008002,1,1,207183,-55,0.589048622548086,-52,0
000000000000000000008002,1,1,222735,-55.5,0.66881562351814,273,0
000000000000000000008001,1,1,224466,-52,4.86578705917325,104,0
000000000000000000008001,1,1,233303,-52.5,4.84124336656708,-52,0
000000000000000000008002,1,1,235718,-55,0.625864161457342,-26,0
000000000000000000008001,1,1,250057,-52.5,4.85965113602171,-52,0
000000000000000000008002,1,1,253127,-55.5,0.638136007760426,26,0
000000000000000000008001,1,1,261094,-52.5,4.84737928971863,-26,0
000000000000000000008002,1,1,262158,-55.5,0.650407854063512,130,0
000000000000000000008001,1,1,279815,-52.5,4.84124336656708,-26,0
000000000000000000008002,1,1,280923,-55.5,0.687223392972768,325,0
000000000000000000008002,1,1,290101,-55.5,0.656543777215054,104,0
000000000000000000008001,1,1,292003,-52,4.84737928971863,-26,0
000000000000000000008002,1,1,307691,-55.5,0.64427193091197,104,0
000000000000000000008001,1,1,309921,-52.5,4.83510744341554,-104,0
000000000000000000008001,1,1,317264,-52.5,4.85351521287017,26,0
000000000000000000008002,1,1,320365,-55.5,0.64427193091197,104,0
000000000000000000008002,1,1,334720,-55,0.638136007760426,0,0
000000000000000000008001,1,1,338606,-52.5,4.8719229823248,104,0
000000000000000000008002,1,1,346185,-55.5,0.650407854063512,130,0
000000000000000000008001,1,1,347886,-52.5,4.84124336656708,0,0
000000000000000000008001,1,1,362810,-52.5,4.84737928971863,-26,0
000000000000000000008002,1,1,364287,-55.5,0.638136007760426,78,0
000000000000000000008002,1,1,372281,-55.5,0.625864161457342,78,0
000000000000000000008001,1,1,374781,-52.5,4.85351521287017,26,0
000000000000000000008002,1,1,389318,-55.5,0.625864161457342,-52,0
000000000000000000008001,1,1,393045,-52,4.84124336656708,52,0
000000000000000000008002,1,1,400135,-55.5,0.607456392002714,-130,0
000000000000000000008001,1,1,403974,-52.5,4.8719229823248,52,0
000000000000000000008002,1,1,419519,-55.5,0.625864161457342,78,0
000000000000000000008001,1,1,420639,-52.5,4.828971520264,-104,0
000000000000000000008001,1,1,429709,-52,4.80442782765783,-247,0
000000000000000000008002,1,1,431100,-55.5,0.66881562351814,351,0
000000000000000000008001,1,1,446087,-52,4.828971520264,-104,0
000000000000000000008002,1,1,448049,-55.5,0.64427193091197,299,0
000000000000000000008001,1,1,454056,-52.5,4.87805890547634,78,0
000000000000000000008002,1,1,457370,-55,0.650407854063512,273,0
000000000000000000008002,1,1,473354,-55.5,0.607456392002714,26,0
000000000000000000008001,1,1,475685,-52.5,4.86578705917325,78,0
