EPC,Antenna,Channel,TimeStamp/us,RSSI/dBm,Phase/rad,Doppler Shift/Hz,Velocity
000000000000000000008005,1,1,0,-59,3.95153450959341,52,0
000000000000000000008005,1,1,12492,-58.5,3.85335973916873,-273,0
000000000000000000008005,1,1,30415,-58.5,3.87176750862336,-299,0
000000000000000000008005,1,1,43171,-58,3.87176750862336,-221,0
000000000000000000008005,1,1,57570,-58.5,3.9638063558965,52,0
000000000000000000008005,1,1,66850,-58.5,3.96994227904804,26,0
000000000000000000008005,1,1,85709,-58.5,3.85949566232027,-403,0
000000000000000000008005,1,1,97975,-58.5,3.89631120122953,-26,0
000000000000000000008005,1,1,113955,-58.5,3.95767043274495,221,0
000000000000000000008005,1,1,122222,-58,3.85949566232027,-299,0
000000000000000000008005,1,1,140256,-58.5,3.90858304753261,-130,0
000000000000000000008005,1,1,154375,-58.5,3.90858304753261,-247,0
000000000000000000008005,1,1,169165,-58.5,3.91471897068416,-26,0
000000000000000000008005,1,1,178161,-58.5,3.92699081698724,-104,0
000000000000000000008005,1,1,198297,-58.5,3.84722381601719,-429,0
000000000000000000008005,1,1,207827,-58.5,3.89017527807799,-273,0
000000000000000000008005,1,1,226929,-58.5,3.84722381601719,-299,0
000000000000000000008005,1,1,236180,-58.5,3.89631120122953,-221,0
000000000000000000008005,1,1,253977,-58,3.98835004850267,182,0
000000000000000000008005,1,1,264893,-58,3.84722381601719,-351,0
000000000000000000008005,1,1,280740,-58,3.85335973916873,0,0
000000000000000000008005,1,1,291601,-58,3.8779034317749,-26,0
000000000000000000008005,1,1,310936,-58.5,3.85949566232027,-182,0
000000000000000000008005,1,1,318008,-58,3.87176750862336,52,0
000000000000000000008005,1,1,335221,-58.5,3.93312674013878,299,0
000000000000000000008005,1,1,346680,-58,3.80427235395639,-325,0
000000000000000000008005,1,1,364685,-58,3.84722381601719,-325,0
000000000000000000008005,1,1,375319,-58.5,3.82268012341102,-247,0
000000000000000000008005,1,1,394714,-58.5,3.86563158547182,0,0
000000000000000000008005,1,1,406162,-58.5,3.85335973916873,-156,0
000000000000000000008005,1,1,421926,-57.5,3.88403935492644,-52,0
000000000000000000008005,1,1,433356,-58.5,3.84722381601719,-221,0
000000000000000000008005,1,1,449963,-58.5,3.84108789286565,-299,0
000000000000000000008005,1,1,462870,-58.5,3.8349519697141,-351,0
000000000000000000008005,1,1,478013,-58.5,3.88403935492644,-130,0
000000000000000000008005,1,1,489483,-58.5,3.93312674013878,26,0
000000000000000000008005,1,1,508232,-58,3.89017527807799,-26,0
000000000000000000008005,1,1,514458,-58,3.82268012341102,-455,0
000000000000000000008005,1,1,531850,-58,3.80427235395639,-559,0
000000000000000000008005,1,1,542537,-58.5,3.85949566232027,-299,0
000000000000000000008005,1,1,560644,-58,3.81654420025948,-455,0
000000000000000000008005,1,1,569901,-58,3.89017527807799,-156,0
000000000000000000008005,1,1,591403,-59,3.92699081698724,130,0
000000000000000000008005,1,1,599391,-58.5,3.9208548938357,26,0
000000000000000000008005,1,1,617862,-58,3.84108789286565,-182,0
000000000000000000008005,1,1,627932,-58.5,3.85335973916873,-325,0
000000000000000000008005,1,1,648008,-58,3.84108789286565,-377,0
000000000000000000008005,1,1,655789,-58.5,3.85949566232027,-104,0
000000000000000000008005,1,1,673817,-58,3.8349519697141,-325,0
000000000000000000008005,1,1,682144,-58.5,3.78586458450176,-429,0
000000000000000000008005,1,1,700418,-58,3.84722381601719,-325,0
000000000000000000008005,1,1,712774,-58.5,3.91471897068416,104,0
000000000000000000008005,1,1,729795,-58,3.9208548938357,130,0
000000000000000000008005,1,1,740459,-58,3.8349519697141,-351,0
000000000000000000008005,1,1,757623,-58,3.87176750862336,-247,0
000000000000000000008005,1,1,766891,-58,3.93926266329033,182,0
000000000000000000008005,1,1,786554,-58,3.82268012341102,-377,0
000000000000000000008005,1,1,798070,-58,3.79813643080485,-403,0
000000000000000000008005,1,1,813479,-57.5,3.85335973916873,-221,0
000000000000000000008005,1,1,822962,-58,3.81040827710793,-247,0
000000000000000000008005,1,1,842994,-58.5,3.81654420025948,-377,0
000000000000000000008005,1,1,852498,-58,3.8779034317749,-78,0
000000000000000000008005,1,1,870188,-58,3.8779034317749,-26,0
000000000000000000008005,1,1,881065,-58,3.8779034317749,52,0
000000000000000000008005,1,1,896524,-58,3.90244712438107,-26,0
000000000000000000008005,1,1,909293,-58,3.85949566232027,-156,0
000000000000000000008005,1,1,927417,-58,3.77359273819868,-481,0
000000000000000000008005,1,1,935009,-58.5,3.86563158547182,-26,0
000000000000000000008005,1,1,951065,-59,3.91471897068416,78,0
000000000000000000008005,1,1,963840,-58.5,3.88403935492644,-52,0
000000000000000000008005,1,1,981424,-58,3.84722381601719,-221,0
000000000000000000008005,1,1,990732,-58.5,3.82881604656256,-156,0
000000000000000000008005,1,1,1007655,-58.5,3.8349519697141,-351,0
000000000000000000008005,1,1,1020185,-58,3.86563158547182,-78,0
000000000000000000008005,1,1,1034538,-58,3.87176750862336,-221,0
000000000000000000008005,1,1,1044623,-58,3.89631120122953,-78,0
000000000000000000008005,1,1,1065619,-58.5,3.86563158547182,-221,0
000000000000000000008005,1,1,1074357,-58.5,3.93312674013878,0,0
000000000000000000008005,1,1,1093375,-59,3.87176750862336,-273,0
000000000000000000008005,1,1,1104994,-59,3.84722381601719,-273,0
000000000000000000008005,1,1,1120513,-59,3.81654420025948,-299,0
000000000000000000008005,1,1,1132472,-59,3.79200050765331,-299,0
000000000000000000008005,1,1,1147447,-59.5,3.69996166038017,-221,0
000000000000000000008005,1,1,1159930,-59.5,3.64473835201628,-104,0
000000000000000000008005,1,1,1176641,-60,3.49747619637926,52,0
000000000000000000008005,1,1,1185892,-60.5,3.32567034813607,-351,0
000000000000000000008005,1,1,1204723,-62.5,3.04341788316511,0,0
000000000000000000008005,1,1,1216155,-63.5,2.85934018861884,703,0
000000000000000000008005,1,1,1232314,-65.5,2.11689348728218,247,0
000000000000000000008005,1,1,1242911,-66.5,1.75487402134117,1822,0
000000000000000000008005,1,1,1262683,-66,5.90889399493549,-507,0
000000000000000000008005,1,1,1270835,-64.5,5.37506868075129,-507,0
000000000000000000008005,1,1,1292252,-61,4.70625305723315,26,0
000000000000000000008005,1,1,1307055,-57.5,4.46081613117144,247,0
000000000000000000008005,1,1,1325408,-55,4.18469958935203,156,0
000000000000000000008005,1,1,1334870,-54.5,4.01289374110884,-78,0
000000000000000000008005,1,1,1352768,-53.5,3.85335973916873,26,0
000000000000000000008005,1,1,1363139,-53,3.73064127613788,26,0
000000000000000000008005,1,1,1378642,-52.5,3.47293250377309,-325,0
000000000000000000008005,1,1,1390381,-53,3.39316550280304,-52,0
000000000000000000008005,1,1,1411106,-54.5,3.14159265358979,52,0
000000000000000000008005,1,1,1422012,-54.5,2.96365088219506,299,0
000000000000000000008005,1,1,1438778,-56,2.50959256898091,-78,0
000000000000000000008005,1,1,1452916,-57.5,2.12916533358527,-78,0
000000000000000000008005,1,1,1467907,-58.5,1.51557301843101,26,0
000000000000000000008005,1,1,1480685,-58.5,0.889708856973672,-78,0
000000000000000000008005,1,1,1505587,-57.5,6.09297168948177,-104,0
000000000000000000008005,1,1,1513086,-56.5,5.9395736106932,156,0
000000000000000000008005,1,1,1531283,-54.5,5.47324345117597,-130,0
000000000000000000008005,1,1,1540537,-54,5.3627968344482,0,0
000000000000000000008005,1,1,1560405,-52.5,5.17258321675038,221,0
000000000000000000008005,1,1,1571002,-51.5,5.06827252317416,104,0
000000000000000000008005,1,1,1591812,-51,4.90873852123405,0,0
000000000000000000008005,1,1,1603159,-51,4.89646667493097,221,0
000000000000000000008005,1,1,1618510,-51,4.828971520264,52,0
000000000000000000008005,1,1,1632739,-51,4.77988413505166,78,0
000000000000000000008005,1,1,1648080,-51,4.77988413505166,247,0
000000000000000000008005,1,1,1659997,-50.5,4.74920451929395,156,0
000000000000000000008005,1,1,1675614,-51,4.68784528777852,52,0
000000000000000000008005,1,1,1685406,-51,4.68784528777852,130,0
000000000000000000008005,1,1,1703931,-51,4.65716567202081,52,0
000000000000000000008005,1,1,1715501,-51,4.64489382571772,26,0
000000000000000000008005,1,1,1733436,-51,4.61421420996001,-78,0
000000000000000000008005,1,1,1741134,-51.5,4.65102974886926,130,0
000000000000000000008005,1,1,1761026,-51,4.71238898038469,182,0
000000000000000000008005,1,1,1768213,-51.5,4.67557344147543,156,0
000000000000000000008005,1,1,1789086,-51.5,4.73693267299086,221,0
000000000000000000008005,1,1,1797011,-51.5,4.73079674983932,156,0
000000000000000000008005,1,1,1816657,-51.5,4.77988413505166,78,0
000000000000000000008005,1,1,1824602,-51,4.79829190450629,130,0
000000000000000000008005,1,1,1845560,-51,4.86578705917325,78,0
000000000000000000008005,1,1,1854849,-50.5,4.91487444438559,221,0
000000000000000000008005,1,1,1873385,-50.5,4.94555406014331,-26,0
000000000000000000008005,1,1,1884250,-50.5,4.99464144535565,130,0
000000000000000000008005,1,1,1906508,-50.5,5.10508806208341,104,0
