EPC,Antenna,Channel,TimeStamp/us,RSSI/dBm,Phase/rad,Doppler Shift/Hz,Velocity
000000000000000000008005,1,1,0,-58.5,4.27060251347362,182,0
000000000000000000008005,1,1,13880,-58,4.22765105141283,78,0
000000000000000000008005,1,1,29579,-58,4.21537920510974,182,0
000000000000000000008005,1,1,39983,-58,4.27060251347362,78,0
000000000000000000008005,1,1,56787,-58,4.25833066717054,156,0
000000000000000000008005,1,1,68015,-58,4.22765105141283,78,0
000000000000000000008005,1,1,84429,-58.5,4.22151512826128,130,0
000000000000000000008005,1,1,96516,-58.5,4.22151512826128,78,0
000000000000000000008005,1,1,111201,-58,4.20310735880666,182,0
000000000000000000008005,1,1,123663,-58.5,4.20310735880666,52,0
000000000000000000008005,1,1,142951,-58,4.17856366620049,-130,0
000000000000000000008005,1,1,152465,-58,4.1662918198974,-156,0
000000000000000000008005,1,1,171417,-58,4.19083551250357,-52,0
000000000000000000008005,1,1,178303,-58,4.23378697456437,156,0
000000000000000000008005,1,1,196693,-58.5,4.17856366620049,-52,0
000000000000000000008005,1,1,205887,-58.5,4.20310735880666,26,0
000000000000000000008005,1,1,225262,-58,4.21537920510974,52,0
000000000000000000008005,1,1,236485,-58,4.19697143565511,-78,0
000000000000000000008005,1,1,251256,-58.5,4.1662918198974,26,0
000000000000000000008005,1,1,267456,-58.5,4.2092432819582,0,0
000000000000000000008005,1,1,282190,-58.5,4.20310735880666,26,0
000000000000000000008005,1,1,292405,-58,4.17242774304894,-247,0
000000000000000000008005,1,1,314188,-58.5,4.22151512826128,156,0
000000000000000000008005,1,1,325379,-57.5,4.17856366620049,-104,0
000000000000000000008005,1,1,343897,-58.5,4.15401997359432,-221,0
000000000000000000008005,1,1,352328,-58,4.14788405044277,-156,0
000000000000000000008005,1,1,367395,-58.5,4.22151512826128,182,0
000000000000000000008005,1,1,382256,-58,4.22151512826128,156,0
000000000000000000008005,1,1,396819,-57.5,4.19083551250357,-52,0
000000000000000000008005,1,1,408584,-58.5,4.22765105141283,52,0
000000000000000000008005,1,1,423225,-58.5,4.20310735880666,26,0
000000000000000000008005,1,1,437163,-58,4.22765105141283,130,0
000000000000000000008005,1,1,455078,-58,4.23378697456437,130,0
000000000000000000008005,1,1,462955,-58,4.19697143565511,0,0
000000000000000000008005,1,1,479695,-58,4.13561220413969,-403,0
000000000000000000008005,1,1,490041,-58.5,4.17242774304894,-104,0
000000000000000000008005,1,1,511021,-58.5,4.1662918198974,-247,0
000000000000000000008005,1,1,521787,-58.5,4.23378697456437,130,0
000000000000000000008005,1,1,538155,-58.5,4.23992289771591,299,0
