EPC,Antenna,Channel,TimeStamp/us,RSSI/dBm,Phase/rad,Doppler Shift/Hz,Velocity
000000000000000000008005,1,1,0,-57,4.2092432819582,182,0
000000000000000000008005,1,1,6320,-57.5,4.19083551250357,78,0
000000000000000000008005,1,1,25630,-57,4.2092432819582,377,0
000000000000000000008005,1,1,34401,-57.5,4.18469958935203,78,0
000000000000000000008005,1,1,56624,-57.5,4.1662918198974,-52,0
000000000000000000008005,1,1,62168,-57,4.14174812729123,0,0
000000000000000000008005,1,1,79591,-57,4.17856366620049,0,0
000000000000000000008005,1,1,92669,-57.5,4.1662918198974,0,0
000000000000000000008005,1,1,109007,-57.5,4.15401997359432,221,0
000000000000000000008005,1,1,121841,-57.5,4.14788405044277,-52,0
000000000000000000008005,1,1,137480,-57.5,4.13561220413969,-78,0
000000000000000000008005,1,1,150022,-57,4.15401997359432,-52,0
000000000000000000008005,1,1,167911,-57.5,4.17242774304894,78,0
000000000000000000008005,1,1,176956,-57,4.12947628098815,-221,0
000000000000000000008005,1,1,194652,-57.5,4.1662918198974,130,0
000000000000000000008005,1,1,202853,-57.5,4.23992289771591,351,0
000000000000000000008005,1,1,222151,-57.5,4.09879666523043,-351,0
000000000000000000008005,1,1,234118,-57,4.19083551250357,104,0
000000000000000000008005,1,1,251300,-57.5,4.11720443468506,-247,0
000000000000000000008005,1,1,258675,-57.5,4.1662918198974,-26,0
000000000000000000008005,1,1,279931,-57,4.16015589674586,-52,0
000000000000000000008005,1,1,289218,-57,4.28287435977671,585,0
000000000000000000008005,1,1,305551,-57,4.1662918198974,52,0
000000000000000000008005,1,1,318091,-57.5,4.22151512826128,221,0
000000000000000000008005,1,1,331460,-57.5,4.1662918198974,-104,0
000000000000000000008005,1,1,346366,-57.5,4.1662918198974,78,0
000000000000000000008005,1,1,362431,-57,4.17242774304894,104,0
000000000000000000008005,1,1,371681,-57,4.14788405044277,26,0
000000000000000000008005,1,1,388183,-57,4.17856366620049,0,0
000000000000000000008005,1,1,398316,-57,4.21537920510974,299,0
000000000000000000008005,1,1,419019,-57.5,4.19697143565511,104,0
000000000000000000008005,1,1,428271,-57.5,4.17242774304894,156,0
000000000000000000008005,1,1,446287,-57,4.17242774304894,-52,0
