EPC,Antenna,Channel,TimeStamp/us,RSSI/dBm,Phase/rad,Doppler Shift/Hz,Velocity
000000000000000000000902,1,1,0,-40,6.11751538208794,143,0
000000000000000000000901,1,1,7931,-41,1.87759248437203,52,0
000000000000000000000902,1,1,12041,-40,6.11137945893639,169,0
000000000000000000000901,1,1,27986,-41,1.88372840752357,78,0
000000000000000000000902,1,1,31905,-40,6.12978722839102,169,0
000000000000000000000902,1,1,39154,-40,6.11137945893639,117,0
000000000000000000000901,1,1,41882,-41,1.88986433067511,130,0
000000000000000000000901,1,1,57365,-41,1.88372840752357,104,0
000000000000000000000902,1,1,59149,-40,6.11751538208794,195,0
000000000000000000000902,1,1,70247,-40,6.11751538208794,78,0
000000000000000000000901,1,1,73779,-41,1.88372840752357,26,0
000000000000000000000902,1,1,87469,-40,6.11137945893639,117,0
000000000000000000000901,1,1,90293,-41,1.88372840752357,52,0
000000000000000000000901,1,1,100473,-41,1.88372840752357,26,0
000000000000000000000902,1,1,103886,-40,6.09910761263331,52,0
000000000000000000000901,1,1,121014,-41,1.88372840752357,0,0
000000000000000000000902,1,1,123174,-40,6.11751538208794,78,0
000000000000000000000902,1,1,131256,-40,6.12365130523948,143,0
000000000000000000000901,1,1,133709,-41,1.88986433067511,78,0
000000000000000000000902,1,1,149416,-40,6.09910761263331,0,0
000000000000000000000901,1,1,152681,-41,1.87759248437203,0,0
000000000000000000000902,1,1,160164,-40,6.11751538208794,117,0
000000000000000000000901,1,1,164366,-41,1.88372840752357,26,0
000000000000000000000902,1,1,178884,-40,6.11137945893639,52,0
000000000000000000000901,1,1,180167,-40.5,1.91440802328128,130,0
000000000000000000000902,1,1,194095,-40,6.10524353578485,117,0
000000000000000000000901,1,1,195180,-41,1.91440802328128,182,0
000000000000000000000902,1,1,211060,-40,6.10524353578485,117,0
000000000000000000000901,1,1,213628,-41,1.9021361769782,78,0
000000000000000000000901,1,1,220610,-41,1.89600025382665,78,0
000000000000000000000902,1,1,224141,-40,6.10524353578485,78,0
000000000000000000000901,1,1,239209,-41,1.88986433067511,52,0
000000000000000000000902,1,1,241456,-40,6.11137945893639,143,0
000000000000000000000902,1,1,251255,-40,6.11137945893639,169,0
000000000000000000000901,1,1,254447,-41,1.9021361769782,104,0
000000000000000000000902,1,1,272267,-40,6.10524353578485,195,0
000000000000000000000901,1,1,273739,-41,1.90827210012974,104,0
000000000000000000000901,1,1,281833,-41,1.90827210012974,104,0
000000000000000000000902,1,1,285087,-40,6.09910761263331,52,0
000000000000000000000902,1,1,303536,-40,6.10524353578485,143,0
000000000000000000000901,1,1,304862,-41,1.89600025382665,52,0
000000000000000000000901,1,1,312096,-41,1.92054394643282,182,0
000000000000000000000902,1,1,316261,-40,6.11137945893639,52,0
000000000000000000000902,1,1,330826,-40,6.10524353578485,169,0
000000000000000000000901,1,1,331984,-41,1.90827210012974,52,0
000000000000000000000901,1,1,344240,-41,1.88986433067511,0,0
000000000000000000000902,1,1,346192,-40,6.11751538208794,195,0
000000000000000000000901,1,1,363551,-41,1.92054394643282,182,0
000000000000000000000902,1,1,365311,-40,6.10524353578485,117,0
000000000000000000000902,1,1,375209,-40,6.10524353578485,143,0
000000000000000000000901,1,1,376923,-41,1.9021361769782,78,0
000000000000000000000901,1,1,393090,-41,1.9021361769782,26,0
000000000000000000000902,1,1,394580,-40,6.11137945893639,169,0
000000000000000000000901,1,1,403585,-41,1.9021361769782,104,0
000000000000000000000902,1,1,407095,-40,6.10524353578485,52,0
000000000000000000000901,1,1,422552,-41,1.91440802328128,130,0
000000000000000000000902,1,1,424768,-40,6.11751538208794,78,0
000000000000000000000902,1,1,433374,-40,6.11137945893639,52,0
000000000000000000000901,1,1,436721,-41,1.9021361769782,130,0
000000000000000000000901,1,1,455212,-41,1.91440802328128,104,0
000000000000000000000902,1,1,456302,-40,6.11137945893639,169,0
000000000000000000000901,1,1,464342,-41,1.92667986958437,156,0
000000000000000000000902,1,1,466048,-40,6.11137945893639,117,0
000000000000000000000902,1,1,481840,-40,6.11137945893639,195,0
000000000000000000000901,1,1,484264,-41,1.90827210012974,104,0
000000000000000000000901,1,1,494097,-41,1.88372840752357,26,0
000000000000000000000902,1,1,497194,-40,6.11751538208794,195,0
000000000000000000000901,1,1,513796,-41,1.92054394643282,182,0
000000000000000000000902,1,1,516682,-40,6.12365130523948,221,0
000000000000000000000902,1,1,526973,-40,6.11137945893639,117,0
000000000000000000000901,1,1,528628,-41,1.90827210012974,130,0
000000000000000000000902,1,1,546483,-40,6.11137945893639,169,0
000000000000000000000901,1,1,548436,-41,1.92054394643282,156,0
000000000000000000000901,1,1,557067,-40.5,1.90827210012974,78,0
000000000000000000000902,1,1,559567,-40,6.11751538208794,247,0
000000000000000000000902,1,1,576031,-40,6.11137945893639,117,0
000000000000000000000901,1,1,578951,-41,1.92667986958437,156,0
000000000000000000000901,1,1,591469,-41,1.92054394643282,104,0
000000000000000000000902,1,1,592828,-40,6.10524353578485,117,0
000000000000000000000902,1,1,606541,-40,6.11137945893639,169,0
000000000000000000000901,1,1,610089,-41,1.92054394643282,130,0
000000000000000000000902,1,1,619358,-40,6.11751538208794,169,0
000000000000000000000901,1,1,621598,-41,1.91440802328128,78,0
000000000000000000000902,1,1,636370,-40,6.11137945893639,143,0
000000000000000000000901,1,1,641283,-41,1.92054394643282,156,0
000000000000000000000901,1,1,648267,-41,1.90827210012974,156,0
000000000000000000000902,1,1,651612,-40,6.12978722839102,195,0
000000000000000000000902,1,1,669444,-40,6.11751538208794,78,0
000000000000000000000901,1,1,670843,-41,1.9021361769782,-52,0
000000000000000000000902,1,1,680278,-40,6.10524353578485,78,0
000000000000000000000901,1,1,683898,-41,1.89600025382665,0,0
000000000000000000000902,1,1,700910,-40,6.09910761263331,52,0
000000000000000000000901,1,1,702052,-41,1.88986433067511,78,0
000000000000000000000901,1,1,710504,-41,1.92667986958437,221,0
000000000000000000000902,1,1,713143,-40,6.11137945893639,52,0
000000000000000000000902,1,1,736540,-40,6.10524353578485,143,0
000000000000000000000901,1,1,739091,-41,1.9021361769782,130,0
000000000000000000000901,1,1,747729,-41,1.88986433067511,26,0
000000000000000000000902,1,1,749033,-40,6.11751538208794,143,0
000000000000000000000902,1,1,766896,-40,6.11751538208794,78,0
000000000000000000000901,1,1,768517,-41,1.89600025382665,0,0
000000000000000000000901,1,1,777184,-41,1.88986433067511,26,0
000000000000000000000902,1,1,779630,-40,6.11751538208794,169,0
000000000000000000000902,1,1,798406,-40,6.11751538208794,169,0
000000000000000000000901,1,1,800133,-41,1.89600025382665,52,0
000000000000000000000902,1,1,807612,-40,6.11137945893639,117,0
000000000000000000000901,1,1,810323,-41,1.92054394643282,182,0
000000000000000000000901,1,1,826982,-41,1.92667986958437,156,0
000000000000000000000902,1,1,831151,-40,6.12365130523948,143,0
000000000000000000000902,1,1,837602,-40,6.13592315154256,221,0
000000000000000000000901,1,1,841349,-41,1.92054394643282,130,0
